N,residual
-1.0000000000e+01,nan
-9.9960000000e+00,-3.6926572911e-11
-9.9920000000e+00,-3.7043257350e-11
-9.9880000000e+00,-3.6440628293e-11
-9.9840000000e+00,-3.6727620945e-11
-9.9800000000e+00,-3.7012726217e-11
-9.9760000000e+00,-3.7085889915e-11
-9.9720000000e+00,-3.6737723974e-11
-9.9680000000e+00,-3.6895042577e-11
-9.9640000000e+00,-3.6893710309e-11
-9.9600000000e+00,-3.6978420326e-11
-9.9560000000e+00,-3.6712410889e-11
-9.9520000000e+00,-3.6567748829e-11
-9.9480000000e+00,-3.6562419758e-11
-9.9440000000e+00,-3.6941116832e-11
-9.9400000000e+00,-3.7040037704e-11
-9.9360000000e+00,-3.6648462043e-11
-9.9320000000e+00,-3.6921576907e-11
-9.9280000000e+00,-3.6740166465e-11
-9.9240000000e+00,-3.6576297546e-11
-9.9200000000e+00,-3.6902370049e-11
-9.9160000000e+00,-3.6599501207e-11
-9.9120000000e+00,-3.6821878879e-11
-9.9080000000e+00,-3.6677993975e-11
-9.9040000000e+00,-3.6866953934e-11
-9.9000000000e+00,-3.6724956409e-11
-9.8960000000e+00,-3.6951441906e-11
-9.8920000000e+00,-3.6654901336e-11
-9.8880000000e+00,-3.6761815814e-11
-9.8840000000e+00,-3.6608049925e-11
-9.8800000000e+00,-3.6893377242e-11
-9.8760000000e+00,-3.6725955610e-11
-9.8720000000e+00,-3.6805558601e-11
-9.8680000000e+00,-3.6922132018e-11
-9.8640000000e+00,-3.6638914125e-11
-9.8600000000e+00,-3.6427971750e-11
-9.8560000000e+00,-3.6534331116e-11
-9.8520000000e+00,-3.6521230484e-11
-9.8480000000e+00,-3.6860736685e-11
-9.8440000000e+00,-3.6433633888e-11
-9.8400000000e+00,-3.6849190366e-11
-9.8360000000e+00,-3.6760816613e-11
-9.8320000000e+00,-3.6640579459e-11
-9.8280000000e+00,-3.6733838193e-11
-9.8240000000e+00,-3.6830538619e-11
-9.8200000000e+00,-3.6721292673e-11
-9.8160000000e+00,-3.6877834120e-11
-9.8120000000e+00,-3.6408986936e-11
-9.8080000000e+00,-3.6695979588e-11
-9.8040000000e+00,-3.6619929311e-11
-9.8000000000e+00,-3.6653236002e-11
-9.7960000000e+00,-3.6358471789e-11
-9.7920000000e+00,-3.6435410244e-11
-9.7880000000e+00,-3.6674663306e-11
-9.7840000000e+00,-3.6865843711e-11
-9.7800000000e+00,-3.6571856654e-11
-9.7760000000e+00,-3.6720182450e-11
-9.7720000000e+00,-3.6646352619e-11
-9.7680000000e+00,-3.6595060315e-11
-9.7640000000e+00,-3.6583625018e-11
-9.7600000000e+00,-3.6630032341e-11
-9.7560000000e+00,-3.6751934829e-11
-9.7520000000e+00,-3.6511904611e-11
-9.7480000000e+00,-3.6154967908e-11
-9.7440000000e+00,-3.6608271969e-11
-9.7400000000e+00,-3.6752267896e-11
-9.7360000000e+00,-3.6832314976e-11
-9.7320000000e+00,-3.6638359013e-11
-9.7280000000e+00,-3.6642799905e-11
-9.7240000000e+00,-3.6635916523e-11
-9.7200000000e+00,-3.6862402020e-11
-9.7160000000e+00,-3.6430747308e-11
-9.7120000000e+00,-3.6494807176e-11
-9.7080000000e+00,-3.6617819887e-11
-9.7040000000e+00,-3.6590064312e-11
-9.7000000000e+00,-3.6428526862e-11
-9.6960000000e+00,-3.6378899892e-11
-9.6920000000e+00,-3.6458169816e-11
-9.6880000000e+00,-3.6911695922e-11
-9.6840000000e+00,-3.6392555636e-11
-9.6800000000e+00,-3.6509684165e-11
-9.6760000000e+00,-3.6826319771e-11
-9.6720000000e+00,-3.6677660908e-11
-9.6680000000e+00,-3.6536440540e-11
-9.6640000000e+00,-3.6646685686e-11
-9.6600000000e+00,-3.6571967676e-11
-9.6560000000e+00,-3.6557312733e-11
-9.6520000000e+00,-3.6392000524e-11
-9.6480000000e+00,-3.6549097082e-11
-9.6440000000e+00,-3.6591507602e-11
-9.6400000000e+00,-3.6990965846e-11
-9.6360000000e+00,-3.6173508633e-11
-9.6320000000e+00,-3.6657898939e-11
-9.6280000000e+00,-3.6642799905e-11
-9.6240000000e+00,-3.6600611431e-11
-9.6200000000e+00,-3.6320946251e-11
-9.6160000000e+00,-3.6503911005e-11
-9.6120000000e+00,-3.6485037214e-11
-9.6080000000e+00,-3.6508684964e-11
-9.6040000000e+00,-3.6592839869e-11
-9.6000000000e+00,-3.6527447733e-11
-9.5960000000e+00,-3.6557534777e-11
-9.5920000000e+00,-3.6473379872e-11
-9.5880000000e+00,-3.6746716781e-11
-9.5840000000e+00,-3.6713410090e-11
-9.5800000000e+00,-3.6618486021e-11
-9.5760000000e+00,-3.6478930987e-11
-9.5720000000e+00,-3.6312730600e-11
-9.5680000000e+00,-3.6591951691e-11
-9.5640000000e+00,-3.6652125779e-11
-9.5600000000e+00,-3.6283198668e-11
-9.5560000000e+00,-3.6412317606e-11
-9.5520000000e+00,-3.6602054720e-11
-9.5480000000e+00,-3.6643021950e-11
-9.5440000000e+00,-3.6324832031e-11
-9.5400000000e+00,-3.6347258536e-11
-9.5360000000e+00,-3.6500580336e-11
-9.5320000000e+00,-3.6347369559e-11
-9.5280000000e+00,-3.6587399777e-11
-9.5240000000e+00,-3.6556202510e-11
-9.5200000000e+00,-3.6498137845e-11
