N,z2
-1.0000000000e+01,7.9673224038e-09
-9.9960000000e+00,8.0303461240e-09
-9.9920000000e+00,8.0938668316e-09
-9.9880000000e+00,8.1578869895e-09
-9.9840000000e+00,8.2224104950e-09
-9.9800000000e+00,8.2874412757e-09
-9.9760000000e+00,8.3529832895e-09
-9.9720000000e+00,8.4190405247e-09
-9.9680000000e+00,8.4856170007e-09
-9.9640000000e+00,8.5527167680e-09
-9.9600000000e+00,8.6203439083e-09
-9.9560000000e+00,8.6885025347e-09
-9.9520000000e+00,8.7571967924e-09
-9.9480000000e+00,8.8264308586e-09
-9.9440000000e+00,8.8962089425e-09
-9.9400000000e+00,8.9665352861e-09
-9.9360000000e+00,9.0374141643e-09
-9.9320000000e+00,9.1088498846e-09
-9.9280000000e+00,9.1808467881e-09
-9.9240000000e+00,9.2534092495e-09
-9.9200000000e+00,9.3265416771e-09
-9.9160000000e+00,9.4002485133e-09
-9.9120000000e+00,9.4745342350e-09
-9.9080000000e+00,9.5494033534e-09
-9.9040000000e+00,9.6248604148e-09
-9.9000000000e+00,9.7009100005e-09
-9.8960000000e+00,9.7775567272e-09
-9.8920000000e+00,9.8548052472e-09
-9.8880000000e+00,9.9326602487e-09
-9.8840000000e+00,1.0011126456e-08
-9.8800000000e+00,1.0090208631e-08
-9.8760000000e+00,1.0169911571e-08
-9.8720000000e+00,1.0250240110e-08
-9.8680000000e+00,1.0331199120e-08
-9.8640000000e+00,1.0412793512e-08
-9.8600000000e+00,1.0495028233e-08
-9.8560000000e+00,1.0577908269e-08
-9.8520000000e+00,1.0661438643e-08
-9.8480000000e+00,1.0745624420e-08
-9.8440000000e+00,1.0830470700e-08
-9.8400000000e+00,1.0915982626e-08
-9.8360000000e+00,1.1002165380e-08
-9.8320000000e+00,1.1089024181e-08
-9.8280000000e+00,1.1176564291e-08
-9.8240000000e+00,1.1264791013e-08
-9.8200000000e+00,1.1353709689e-08
-9.8160000000e+00,1.1443325703e-08
-9.8120000000e+00,1.1533644482e-08
-9.8080000000e+00,1.1624671492e-08
-9.8040000000e+00,1.1716412243e-08
-9.8000000000e+00,1.1808872288e-08
-9.7960000000e+00,1.1902057221e-08
-9.7920000000e+00,1.1995972681e-08
-9.7880000000e+00,1.2090624349e-08
-9.7840000000e+00,1.2186017951e-08
-9.7800000000e+00,1.2282159256e-08
-9.7760000000e+00,1.2379054078e-08
-9.7720000000e+00,1.2476708277e-08
-9.7680000000e+00,1.2575127755e-08
-9.7640000000e+00,1.2674318463e-08
-9.7600000000e+00,1.2774286397e-08
-9.7560000000e+00,1.2875037597e-08
-9.7520000000e+00,1.2976578152e-08
-9.7480000000e+00,1.3078914197e-08
-9.7440000000e+00,1.3182051914e-08
-9.7400000000e+00,1.3285997534e-08
-9.7360000000e+00,1.3390757334e-08
-9.7320000000e+00,1.3496337642e-08
-9.7280000000e+00,1.3602744831e-08
-9.7240000000e+00,1.3709985326e-08
-9.7200000000e+00,1.3818065601e-08
-9.7160000000e+00,1.3926992180e-08
