N,H_over_H0
-1.0000000000e+01,5.0021679778e+06
-9.9960000000e+00,4.9636479592e+06
-9.9920000000e+00,4.9254291717e+06
-9.9880000000e+00,4.8875092380e+06
-9.9840000000e+00,4.8498857999e+06
-9.9800000000e+00,4.8125565177e+06
-9.9760000000e+00,4.7755190703e+06
-9.9720000000e+00,4.7387711551e+06
-9.9680000000e+00,4.7023104875e+06
-9.9640000000e+00,4.6661348014e+06
-9.9600000000e+00,4.6302418483e+06
-9.9560000000e+00,4.5946293977e+06
-9.9520000000e+00,4.5592952368e+06
-9.9480000000e+00,4.5242371704e+06
-9.9440000000e+00,4.4894530205e+06
-9.9400000000e+00,4.4549406265e+06
-9.9360000000e+00,4.4206978449e+06
-9.9320000000e+00,4.3867225493e+06
-9.9280000000e+00,4.3530126300e+06
-9.9240000000e+00,4.3195659941e+06
-9.9200000000e+00,4.2863805653e+06
-9.9160000000e+00,4.2534542836e+06
-9.9120000000e+00,4.2207851057e+06
-9.9080000000e+00,4.1883710040e+06
-9.9040000000e+00,4.1562099675e+06
-9.9000000000e+00,4.1243000007e+06
-9.8960000000e+00,4.0926391241e+06
-9.8920000000e+00,4.0612253739e+06
-9.8880000000e+00,4.0300568019e+06
-9.8840000000e+00,3.9991314753e+06
-9.8800000000e+00,3.9684474765e+06
-9.8760000000e+00,3.9380029033e+06
-9.8720000000e+00,3.9077958685e+06
-9.8680000000e+00,3.8778244997e+06
-9.8640000000e+00,3.8480869395e+06
-9.8600000000e+00,3.8185813454e+06
-9.8560000000e+00,3.7893058890e+06
-9.8520000000e+00,3.7602587569e+06
-9.8480000000e+00,3.7314381497e+06
-9.8440000000e+00,3.7028422825e+06
-9.8400000000e+00,3.6744693845e+06
-9.8360000000e+00,3.6463176988e+06
-9.8320000000e+00,3.6183854825e+06
-9.8280000000e+00,3.5906710066e+06
-9.8240000000e+00,3.5631725556e+06
-9.8200000000e+00,3.5358884278e+06
-9.8160000000e+00,3.5088169348e+06
-9.8120000000e+00,3.4819564018e+06
-9.8080000000e+00,3.4553051670e+06
-9.8040000000e+00,3.4288615820e+06
-9.8000000000e+00,3.4026240113e+06
-9.7960000000e+00,3.3765908325e+06
-9.7920000000e+00,3.3507604358e+06
-9.7880000000e+00,3.3251312244e+06
-9.7840000000e+00,3.2997016141e+06
-9.7800000000e+00,3.2744700333e+06
-9.7760000000e+00,3.2494349225e+06
-9.7720000000e+00,3.2245947351e+06
-9.7680000000e+00,3.1999479363e+06
-9.7640000000e+00,3.1754930036e+06
-9.7600000000e+00,3.1512284267e+06
-9.7560000000e+00,3.1271527071e+06
-9.7520000000e+00,3.1032643582e+06
-9.7480000000e+00,3.0795619052e+06
-9.7440000000e+00,3.0560438850e+06
-9.7400000000e+00,3.0327088459e+06
-9.7360000000e+00,3.0095553480e+06
-9.7320000000e+00,2.9865819626e+06
-9.7280000000e+00,2.9637872723e+06
-9.7240000000e+00,2.9411698711e+06
-9.7200000000e+00,2.9187283639e+06
-9.7160000000e+00,2.8964613669e+06
-9.7120000000e+00,2.8743675070e+06
-9.7080000000e+00,2.8524454222e+06
-9.7040000000e+00,2.8306937611e+06
-9.7000000000e+00,2.8091111831e+06
-9.6960000000e+00,2.7876963582e+06
-9.6920000000e+00,2.7664479669e+06
-9.6880000000e+00,2.7453647002e+06
-9.6840000000e+00,2.7244452594e+06
-9.6800000000e+00,2.7036883561e+06
-9.6760000000e+00,2.6830927121e+06
-9.6720000000e+00,2.6626570594e+06
-9.6680000000e+00,2.6423801399e+06
-9.6640000000e+00,2.6222607055e+06
-9.6600000000e+00,2.6022975181e+06
-9.6560000000e+00,2.5824893492e+06
-9.6520000000e+00,2.5628349802e+06
-9.6480000000e+00,2.5433332020e+06
-9.6440000000e+00,2.5239828152e+06
-9.6400000000e+00,2.5047826298e+06
-9.6360000000e+00,2.4857314652e+06
-9.6320000000e+00,2.4668281503e+06
-9.6280000000e+00,2.4480715231e+06
-9.6240000000e+00,2.4294604309e+06
-9.6200000000e+00,2.4109937299e+06
-9.6160000000e+00,2.3926702858e+06
-9.6120000000e+00,2.3744889728e+06
-9.6080000000e+00,2.3564486742e+06
-9.6040000000e+00,2.3385482823e+06
-9.6000000000e+00,2.3207866979e+06
-9.5960000000e+00,2.3031628306e+06
-9.5920000000e+00,2.2856755987e+06
-9.5880000000e+00,2.2683239289e+06
-9.5840000000e+00,2.2511067566e+06
-9.5800000000e+00,2.2340230254e+06
-9.5760000000e+00,2.2170716874e+06
-9.5720000000e+00,2.2002517029e+06
-9.5680000000e+00,2.1835620406e+06
-9.5640000000e+00,2.1670016771e+06
-9.5600000000e+00,2.1505695973e+06
-9.5560000000e+00,2.1342647940e+06
-9.5520000000e+00,2.1180862680e+06
-9.5480000000e+00,2.1020330282e+06
-9.5440000000e+00,2.0861040909e+06
-9.5400000000e+00,2.0702984807e+06
-9.5360000000e+00,2.0546152294e+06
-9.5320000000e+00,2.0390533770e+06
-9.5280000000e+00,2.0236119705e+06
-9.5240000000e+00,2.0082900650e+06
-9.5200000000e+00,1.9930867227e+06
-9.5160000000e+00,1.9780010132e+06
-9.5120000000e+00,1.9630320138e+06
-9.5080000000e+00,1.9481788088e+06
-9.5040000000e+00,1.9334404898e+06
-9.5000000000e+00,1.9188161556e+06
-9.4960000000e+00,1.9043049122e+06
-9.4920000000e+00,1.8899058725e+06
-9.4880000000e+00,1.8756181565e+06
-9.4840000000e+00,1.8614408912e+06
-9.4800000000e+00,1.8473732104e+06
-9.4760000000e+00,1.8334142550e+06
-9.4720000000e+00,1.8195631723e+06
-9.4680000000e+00,1.8058191166e+06
-9.4640000000e+00,1.7921812488e+06
-9.4600000000e+00,1.7786487366e+06
-9.4560000000e+00,1.7652207540e+06
-9.4520000000e+00,1.7518964817e+06
-9.4480000000e+00,1.7386751068e+06
-9.4440000000e+00,1.7255558229e+06
-9.4400000000e+00,1.7125378300e+06
-9.4360000000e+00,1.6996203342e+06
-9.4320000000e+00,1.6868025482e+06
-9.4280000000e+00,1.6740836907e+06
