N,eta
-1.0000000000e+01,0.0000000000e+00
-9.9960000000e+00,1.7646450206e-05
-9.9920000000e+00,3.5358844580e-05
-9.9880000000e+00,5.3137412920e-05
-9.9840000000e+00,7.0982385712e-05
-9.9800000000e+00,8.8893994124e-05
-9.9760000000e+00,1.0687247002e-04
-9.9720000000e+00,1.2491804594e-04
-9.9680000000e+00,1.4303095513e-04
-9.9640000000e+00,1.6121143152e-04
-9.9600000000e+00,1.7945970973e-04
-9.9560000000e+00,1.9777602509e-04
-9.9520000000e+00,2.1616061362e-04
-9.9480000000e+00,2.3461371201e-04
-9.9440000000e+00,2.5313555769e-04
-9.9400000000e+00,2.7172638876e-04
-9.9360000000e+00,2.9038644405e-04
-9.9320000000e+00,3.0911596305e-04
-9.9280000000e+00,3.2791518600e-04
-9.9240000000e+00,3.4678435381e-04
-9.9200000000e+00,3.6572370811e-04
-9.9160000000e+00,3.8473349124e-04
-9.9120000000e+00,4.0381394625e-04
-9.9080000000e+00,4.2296531687e-04
-9.9040000000e+00,4.4218784760e-04
-9.9000000000e+00,4.6148178358e-04
-9.8960000000e+00,4.8084737073e-04
-9.8920000000e+00,5.0028485565e-04
-9.8880000000e+00,5.1979448565e-04
-9.8840000000e+00,5.3937650877e-04
-9.8800000000e+00,5.5903117378e-04
-9.8760000000e+00,5.7875873015e-04
-9.8720000000e+00,5.9855942807e-04
-9.8680000000e+00,6.1843351846e-04
-9.8640000000e+00,6.3838125297e-04
-9.8600000000e+00,6.5840288396e-04
-9.8560000000e+00,6.7849866453e-04
-9.8520000000e+00,6.9866884849e-04
-9.8480000000e+00,7.1891369039e-04
-9.8440000000e+00,7.3923344550e-04
-9.8400000000e+00,7.5962836984e-04
-9.8360000000e+00,7.8009872013e-04
-9.8320000000e+00,8.0064475386e-04
-9.8280000000e+00,8.2126672921e-04
-9.8240000000e+00,8.4196490514e-04
-9.8200000000e+00,8.6273954132e-04
-9.8160000000e+00,8.8359089815e-04
-9.8120000000e+00,9.0451923680e-04
-9.8080000000e+00,9.2552481914e-04
-9.8040000000e+00,9.4660790782e-04
-9.8000000000e+00,9.6776876620e-04
-9.7960000000e+00,9.8900765840e-04
-9.7920000000e+00,1.0103248493e-03
-9.7880000000e+00,1.0317206044e-03
-9.7840000000e+00,1.0531951902e-03
-9.7800000000e+00,1.0747488738e-03
-9.7760000000e+00,1.0963819229e-03
-9.7720000000e+00,1.1180946062e-03
-9.7680000000e+00,1.1398871931e-03
-9.7640000000e+00,1.1617599536e-03
-9.7600000000e+00,1.1837131585e-03
-9.7560000000e+00,1.2057470796e-03
-9.7520000000e+00,1.2278619891e-03
-9.7480000000e+00,1.2500581602e-03
-9.7440000000e+00,1.2723358668e-03
-9.7400000000e+00,1.2946953834e-03
-9.7360000000e+00,1.3171369855e-03
-9.7320000000e+00,1.3396609493e-03
-9.7280000000e+00,1.3622675516e-03
-9.7240000000e+00,1.3849570702e-03
-9.7200000000e+00,1.4077297835e-03
-9.7160000000e+00,1.4305859706e-03
-9.7120000000e+00,1.4535259117e-03
-9.7080000000e+00,1.4765498873e-03
-9.7040000000e+00,1.4996581791e-03
-9.7000000000e+00,1.5228510692e-03
-9.6960000000e+00,1.5461288408e-03
-9.6920000000e+00,1.5694917777e-03
-9.6880000000e+00,1.5929401645e-03
-9.6840000000e+00,1.6164742865e-03
-9.6800000000e+00,1.6400944298e-03
-9.6760000000e+00,1.6638008814e-03
-9.6720000000e+00,1.6875939291e-03
-9.6680000000e+00,1.7114738611e-03
-9.6640000000e+00,1.7354409669e-03
-9.6600000000e+00,1.7594955363e-03
-9.6560000000e+00,1.7836378603e-03
-9.6520000000e+00,1.8078682304e-03
-9.6480000000e+00,1.8321869390e-03
-9.6440000000e+00,1.8565942792e-03
-9.6400000000e+00,1.8810905450e-03
-9.6360000000e+00,1.9056760311e-03
-9.6320000000e+00,1.9303510329e-03
-9.6280000000e+00,1.9551158469e-03
-9.6240000000e+00,1.9799707700e-03
-9.6200000000e+00,2.0049161001e-03
-9.6160000000e+00,2.0299521360e-03
-9.6120000000e+00,2.0550791770e-03
-9.6080000000e+00,2.0802975233e-03
-9.6040000000e+00,2.1056074761e-03
-9.6000000000e+00,2.1310093372e-03
-9.5960000000e+00,2.1565034091e-03
-9.5920000000e+00,2.1820899952e-03
-9.5880000000e+00,2.2077693999e-03
-9.5840000000e+00,2.2335419281e-03
-9.5800000000e+00,2.2594078856e-03
-9.5760000000e+00,2.2853675790e-03
-9.5720000000e+00,2.3114213157e-03
-9.5680000000e+00,2.3375694039e-03
-9.5640000000e+00,2.3638121526e-03
-9.5600000000e+00,2.3901498717e-03
-9.5560000000e+00,2.4165828717e-03
-9.5520000000e+00,2.4431114640e-03
-9.5480000000e+00,2.4697359609e-03
-9.5440000000e+00,2.4964566754e-03
-9.5400000000e+00,2.5232739213e-03
-9.5360000000e+00,2.5501880132e-03
-9.5320000000e+00,2.5771992667e-03
-9.5280000000e+00,2.6043079979e-03
-9.5240000000e+00,2.6315145238e-03
-9.5200000000e+00,2.6588191625e-03
-9.5160000000e+00,2.6862222325e-03
-9.5120000000e+00,2.7137240533e-03
-9.5080000000e+00,2.7413249453e-03
-9.5040000000e+00,2.7690252295e-03
-9.5000000000e+00,2.7968252279e-03
-9.4960000000e+00,2.8247252633e-03
-9.4920000000e+00,2.8527256591e-03
-9.4880000000e+00,2.8808267398e-03
-9.4840000000e+00,2.9090288306e-03
-9.4800000000e+00,2.9373322575e-03
-9.4760000000e+00,2.9657373472e-03
-9.4720000000e+00,2.9942444275e-03
-9.4680000000e+00,3.0228538268e-03
-9.4640000000e+00,3.0515658744e-03
-9.4600000000e+00,3.0803809004e-03
-9.4560000000e+00,3.1092992358e-03
-9.4520000000e+00,3.1383212122e-03
-9.4480000000e+00,3.1674471623e-03
-9.4440000000e+00,3.1966774195e-03
-9.4400000000e+00,3.2260123179e-03
-9.4360000000e+00,3.2554521926e-03
-9.4320000000e+00,3.2849973796e-03
-9.4280000000e+00,3.3146482154e-03
-9.4240000000e+00,3.3444050376e-03
-9.4200000000e+00,3.3742681846e-03
-9.4160000000e+00,3.4042379956e-03
-9.4120000000e+00,3.4343148105e-03
-9.4080000000e+00,3.4644989702e-03
-9.4040000000e+00,3.4947908163e-03
-9.4000000000e+00,3.5251906914e-03
-9.3960000000e+00,3.5556989387e-03
-9.3920000000e+00,3.5863159025e-03
-9.3880000000e+00,3.6170419277e-03
-9.3840000000e+00,3.6478773602e-03
-9.3800000000e+00,3.6788225466e-03
-9.3760000000e+00,3.7098778343e-03
-9.3720000000e+00,3.7410435718e-03
-9.3680000000e+00,3.7723201082e-03
-9.3640000000e+00,3.8037077934e-03
-9.3600000000e+00,3.8352069783e-03
-9.3560000000e+00,3.8668180146e-03
