N,eps_H
-1.0000000000e+01,1.9327337655e+00
-9.9960000000e+00,1.9325002163e+00
-9.9920000000e+00,1.9322663258e+00
-9.9880000000e+00,1.9320317523e+00
-9.9840000000e+00,1.9317964945e+00
-9.9800000000e+00,1.9315605515e+00
-9.9760000000e+00,1.9313239221e+00
-9.9720000000e+00,1.9310866051e+00
-9.9680000000e+00,1.9308485996e+00
-9.9640000000e+00,1.9306099044e+00
-9.9600000000e+00,1.9303705184e+00
-9.9560000000e+00,1.9301304405e+00
-9.9520000000e+00,1.9298896698e+00
-9.9480000000e+00,1.9296482050e+00
-9.9440000000e+00,1.9294060452e+00
-9.9400000000e+00,1.9291631893e+00
-9.9360000000e+00,1.9289196362e+00
-9.9320000000e+00,1.9286753849e+00
-9.9280000000e+00,1.9284304343e+00
-9.9240000000e+00,1.9281847834e+00
-9.9200000000e+00,1.9279384312e+00
-9.9160000000e+00,1.9276913766e+00
-9.9120000000e+00,1.9274436186e+00
-9.9080000000e+00,1.9271951562e+00
-9.9040000000e+00,1.9269459884e+00
-9.9000000000e+00,1.9266961142e+00
-9.8960000000e+00,1.9264455325e+00
-9.8920000000e+00,1.9261942425e+00
-9.8880000000e+00,1.9259422430e+00
-9.8840000000e+00,1.9256895331e+00
-9.8800000000e+00,1.9254361118e+00
-9.8760000000e+00,1.9251819782e+00
-9.8720000000e+00,1.9249271313e+00
-9.8680000000e+00,1.9246715701e+00
-9.8640000000e+00,1.9244152936e+00
-9.8600000000e+00,1.9241583010e+00
-9.8560000000e+00,1.9239005913e+00
-9.8520000000e+00,1.9236421635e+00
-9.8480000000e+00,1.9233830168e+00
-9.8440000000e+00,1.9231231501e+00
-9.8400000000e+00,1.9228625627e+00
-9.8360000000e+00,1.9226012535e+00
-9.8320000000e+00,1.9223392216e+00
-9.8280000000e+00,1.9220764662e+00
-9.8240000000e+00,1.9218129865e+00
-9.8200000000e+00,1.9215487814e+00
-9.8160000000e+00,1.9212838501e+00
-9.8120000000e+00,1.9210181918e+00
-9.8080000000e+00,1.9207518055e+00
-9.8040000000e+00,1.9204846905e+00
-9.8000000000e+00,1.9202168459e+00
-9.7960000000e+00,1.9199482708e+00
-9.7920000000e+00,1.9196789645e+00
-9.7880000000e+00,1.9194089260e+00
-9.7840000000e+00,1.9191381545e+00
-9.7800000000e+00,1.9188666493e+00
-9.7760000000e+00,1.9185944096e+00
-9.7720000000e+00,1.9183214344e+00
-9.7680000000e+00,1.9180477232e+00
-9.7640000000e+00,1.9177732750e+00
-9.7600000000e+00,1.9174980890e+00
-9.7560000000e+00,1.9172221647e+00
-9.7520000000e+00,1.9169455010e+00
-9.7480000000e+00,1.9166680974e+00
-9.7440000000e+00,1.9163899530e+00
-9.7400000000e+00,1.9161110672e+00
-9.7360000000e+00,1.9158314392e+00
-9.7320000000e+00,1.9155510682e+00
-9.7280000000e+00,1.9152699536e+00
-9.7240000000e+00,1.9149880947e+00
-9.7200000000e+00,1.9147054907e+00
-9.7160000000e+00,1.9144221410e+00
-9.7120000000e+00,1.9141380449e+00
-9.7080000000e+00,1.9138532018e+00
-9.7040000000e+00,1.9135676109e+00
-9.7000000000e+00,1.9132812716e+00
-9.6960000000e+00,1.9129941832e+00
-9.6920000000e+00,1.9127063452e+00
-9.6880000000e+00,1.9124177569e+00
-9.6840000000e+00,1.9121284177e+00
-9.6800000000e+00,1.9118383269e+00
-9.6760000000e+00,1.9115474840e+00
-9.6720000000e+00,1.9112558883e+00
-9.6680000000e+00,1.9109635393e+00
-9.6640000000e+00,1.9106704365e+00
-9.6600000000e+00,1.9103765792e+00
-9.6560000000e+00,1.9100819669e+00
-9.6520000000e+00,1.9097865990e+00
-9.6480000000e+00,1.9094904750e+00
-9.6440000000e+00,1.9091935944e+00
-9.6400000000e+00,1.9088959566e+00
-9.6360000000e+00,1.9085975612e+00
-9.6320000000e+00,1.9082984077e+00
-9.6280000000e+00,1.9079984955e+00
-9.6240000000e+00,1.9076978241e+00
-9.6200000000e+00,1.9073963932e+00
-9.6160000000e+00,1.9070942022e+00
-9.6120000000e+00,1.9067912506e+00
