N,rho_ent_over_rhoc0
-1.0000000000e+01,1.2528371486e-05
-9.9960000000e+00,1.2526642348e-05
-9.9920000000e+00,1.2524913586e-05
-9.9880000000e+00,1.2523185202e-05
-9.9840000000e+00,1.2521457194e-05
-9.9800000000e+00,1.2519729563e-05
-9.9760000000e+00,1.2518002308e-05
-9.9720000000e+00,1.2516275430e-05
-9.9680000000e+00,1.2514548928e-05
-9.9640000000e+00,1.2512822802e-05
-9.9600000000e+00,1.2511097053e-05
-9.9560000000e+00,1.2509371679e-05
-9.9520000000e+00,1.2507646682e-05
-9.9480000000e+00,1.2505922060e-05
-9.9440000000e+00,1.2504197814e-05
-9.9400000000e+00,1.2502473944e-05
-9.9360000000e+00,1.2500750449e-05
-9.9320000000e+00,1.2499027330e-05
-9.9280000000e+00,1.2497304586e-05
-9.9240000000e+00,1.2495582217e-05
-9.9200000000e+00,1.2493860223e-05
-9.9160000000e+00,1.2492138605e-05
-9.9120000000e+00,1.2490417361e-05
-9.9080000000e+00,1.2488696492e-05
-9.9040000000e+00,1.2486975998e-05
-9.9000000000e+00,1.2485255879e-05
-9.8960000000e+00,1.2483536134e-05
-9.8920000000e+00,1.2481816763e-05
-9.8880000000e+00,1.2480097767e-05
-9.8840000000e+00,1.2478379145e-05
-9.8800000000e+00,1.2476660897e-05
-9.8760000000e+00,1.2474943023e-05
-9.8720000000e+00,1.2473225523e-05
-9.8680000000e+00,1.2471508397e-05
-9.8640000000e+00,1.2469791645e-05
-9.8600000000e+00,1.2468075266e-05
-9.8560000000e+00,1.2466359261e-05
-9.8520000000e+00,1.2464643629e-05
-9.8480000000e+00,1.2462928371e-05
-9.8440000000e+00,1.2461213485e-05
-9.8400000000e+00,1.2459498973e-05
-9.8360000000e+00,1.2457784834e-05
-9.8320000000e+00,1.2456071068e-05
-9.8280000000e+00,1.2454357675e-05
-9.8240000000e+00,1.2452644654e-05
-9.8200000000e+00,1.2450932006e-05
-9.8160000000e+00,1.2449219730e-05
-9.8120000000e+00,1.2447507827e-05
-9.8080000000e+00,1.2445796297e-05
-9.8040000000e+00,1.2444085138e-05
-9.8000000000e+00,1.2442374352e-05
-9.7960000000e+00,1.2440663937e-05
-9.7920000000e+00,1.2438953895e-05
-9.7880000000e+00,1.2437244224e-05
-9.7840000000e+00,1.2435534925e-05
-9.7800000000e+00,1.2433825998e-05
-9.7760000000e+00,1.2432117442e-05
-9.7720000000e+00,1.2430409258e-05
-9.7680000000e+00,1.2428701445e-05
-9.7640000000e+00,1.2426994003e-05
-9.7600000000e+00,1.2425286933e-05
-9.7560000000e+00,1.2423580233e-05
-9.7520000000e+00,1.2421873904e-05
-9.7480000000e+00,1.2420167947e-05
-9.7440000000e+00,1.2418462360e-05
-9.7400000000e+00,1.2416757143e-05
-9.7360000000e+00,1.2415052297e-05
-9.7320000000e+00,1.2413347822e-05
-9.7280000000e+00,1.2411643716e-05
-9.7240000000e+00,1.2409939981e-05
-9.7200000000e+00,1.2408236617e-05
-9.7160000000e+00,1.2406533622e-05
-9.7120000000e+00,1.2404830997e-05
-9.7080000000e+00,1.2403128742e-05
-9.7040000000e+00,1.2401426857e-05
-9.7000000000e+00,1.2399725341e-05
-9.6960000000e+00,1.2398024195e-05
-9.6920000000e+00,1.2396323418e-05
-9.6880000000e+00,1.2394623011e-05
-9.6840000000e+00,1.2392922973e-05
-9.6800000000e+00,1.2391223304e-05
-9.6760000000e+00,1.2389524004e-05
-9.6720000000e+00,1.2387825073e-05
-9.6680000000e+00,1.2386126511e-05
-9.6640000000e+00,1.2384428318e-05
-9.6600000000e+00,1.2382730493e-05
-9.6560000000e+00,1.2381033037e-05
-9.6520000000e+00,1.2379335950e-05
-9.6480000000e+00,1.2377639230e-05
-9.6440000000e+00,1.2375942879e-05
-9.6400000000e+00,1.2374246897e-05
-9.6360000000e+00,1.2372551282e-05
-9.6320000000e+00,1.2370856035e-05
-9.6280000000e+00,1.2369161156e-05
-9.6240000000e+00,1.2367466645e-05
-9.6200000000e+00,1.2365772501e-05
-9.6160000000e+00,1.2364078725e-05
-9.6120000000e+00,1.2362385317e-05
-9.6080000000e+00,1.2360692275e-05
-9.6040000000e+00,1.2358999602e-05
-9.6000000000e+00,1.2357307295e-05
-9.5960000000e+00,1.2355615355e-05
-9.5920000000e+00,1.2353923783e-05
-9.5880000000e+00,1.2352232577e-05
-9.5840000000e+00,1.2350541738e-05
-9.5800000000e+00,1.2348851266e-05
-9.5760000000e+00,1.2347161160e-05
-9.5720000000e+00,1.2345471421e-05
-9.5680000000e+00,1.2343782048e-05
-9.5640000000e+00,1.2342093041e-05
-9.5600000000e+00,1.2340404401e-05
-9.5560000000e+00,1.2338716127e-05
-9.5520000000e+00,1.2337028219e-05
-9.5480000000e+00,1.2335340676e-05
-9.5440000000e+00,1.2333653500e-05
-9.5400000000e+00,1.2331966689e-05
-9.5360000000e+00,1.2330280244e-05
-9.5320000000e+00,1.2328594164e-05
-9.5280000000e+00,1.2326908450e-05
-9.5240000000e+00,1.2325223101e-05
-9.5200000000e+00,1.2323538117e-05
-9.5160000000e+00,1.2321853498e-05
-9.5120000000e+00,1.2320169245e-05
-9.5080000000e+00,1.2318485356e-05
-9.5040000000e+00,1.2316801832e-05
-9.5000000000e+00,1.2315118673e-05
-9.4960000000e+00,1.2313435878e-05
-9.4920000000e+00,1.2311753448e-05
-9.4880000000e+00,1.2310071383e-05
-9.4840000000e+00,1.2308389682e-05
-9.4800000000e+00,1.2306708345e-05
-9.4760000000e+00,1.2305027372e-05
-9.4720000000e+00,1.2303346763e-05
-9.4680000000e+00,1.2301666518e-05
-9.4640000000e+00,1.2299986638e-05
-9.4600000000e+00,1.2298307120e-05
-9.4560000000e+00,1.2296627967e-05
-9.4520000000e+00,1.2294949177e-05
-9.4480000000e+00,1.2293270750e-05
-9.4440000000e+00,1.2291592687e-05
-9.4400000000e+00,1.2289914987e-05
-9.4360000000e+00,1.2288237651e-05
-9.4320000000e+00,1.2286560677e-05
-9.4280000000e+00,1.2284884066e-05
-9.4240000000e+00,1.2283207819e-05
-9.4200000000e+00,1.2281531934e-05
-9.4160000000e+00,1.2279856412e-05
-9.4120000000e+00,1.2278181252e-05
-9.4080000000e+00,1.2276506455e-05
-9.4040000000e+00,1.2274832020e-05
-9.4000000000e+00,1.2273157947e-05
-9.3960000000e+00,1.2271484237e-05
-9.3920000000e+00,1.2269810889e-05
-9.3880000000e+00,1.2268137903e-05
-9.3840000000e+00,1.2266465279e-05
-9.3800000000e+00,1.2264793016e-05
-9.3760000000e+00,1.2263121116e-05
-9.3720000000e+00,1.2261449577e-05
-9.3680000000e+00,1.2259778399e-05
-9.3640000000e+00,1.2258107583e-05
-9.3600000000e+00,1.2256437128e-05
-9.3560000000e+00,1.2254767035e-05
-9.3520000000e+00,1.2253097302e-05
-9.3480000000e+00,1.2251427931e-05
-9.3440000000e+00,1.2249758921e-05
-9.3400000000e+00,1.2248090271e-05
-9.3360000000e+00,1.2246421983e-05
-9.3320000000e+00,1.2244754055e-05
-9.3280000000e+00,1.2243086487e-05
-9.3240000000e+00,1.2241419280e-05
-9.3200000000e+00,1.2239752433e-05
-9.3160000000e+00,1.2238085947e-05
-9.3120000000e+00,1.2236419821e-05
-9.3080000000e+00,1.2234754055e-05
-9.3040000000e+00,1.2233088649e-05
-9.3000000000e+00,1.2231423602e-05
-9.2960000000e+00,1.2229758916e-05
-9.2920000000e+00,1.2228094589e-05
-9.2880000000e+00,1.2226430622e-05
-9.2840000000e+00,1.2224767015e-05
-9.2800000000e+00,1.2223103767e-05
-9.2760000000e+00,1.2221440878e-05
-9.2720000000e+00,1.2219778348e-05
-9.2680000000e+00,1.2218116178e-05
-9.2640000000e+00,1.2216454366e-05
-9.2600000000e+00,1.2214792914e-05
-9.2560000000e+00,1.2213131820e-05
-9.2520000000e+00,1.2211471085e-05
-9.2480000000e+00,1.2209810709e-05
-9.2440000000e+00,1.2208150691e-05
-9.2400000000e+00,1.2206491032e-05
-9.2360000000e+00,1.2204831731e-05
-9.2320000000e+00,1.2203172788e-05
-9.2280000000e+00,1.2201514204e-05
-9.2240000000e+00,1.2199855978e-05
-9.2200000000e+00,1.2198198109e-05
-9.2160000000e+00,1.2196540599e-05
-9.2120000000e+00,1.2194883446e-05
-9.2080000000e+00,1.2193226651e-05
-9.2040000000e+00,1.2191570214e-05
-9.2000000000e+00,1.2189914134e-05
-9.1960000000e+00,1.2188258411e-05
-9.1920000000e+00,1.2186603046e-05
-9.1880000000e+00,1.2184948038e-05
-9.1840000000e+00,1.2183293388e-05
-9.1800000000e+00,1.2181639094e-05
-9.1760000000e+00,1.2179985157e-05
-9.1720000000e+00,1.2178331577e-05
-9.1680000000e+00,1.2176678354e-05
-9.1640000000e+00,1.2175025487e-05
-9.1600000000e+00,1.2173372977e-05
-9.1560000000e+00,1.2171720824e-05
-9.1520000000e+00,1.2170069026e-05
-9.1480000000e+00,1.2168417586e-05
-9.1440000000e+00,1.2166766501e-05
-9.1400000000e+00,1.2165115772e-05
-9.1360000000e+00,1.2163465399e-05
-9.1320000000e+00,1.2161815383e-05
-9.1280000000e+00,1.2160165722e-05
-9.1240000000e+00,1.2158516416e-05
-9.1200000000e+00,1.2156867467e-05
-9.1160000000e+00,1.2155218873e-05
-9.1120000000e+00,1.2153570634e-05
-9.1080000000e+00,1.2151922751e-05
-9.1040000000e+00,1.2150275222e-05
-9.1000000000e+00,1.2148628049e-05
-9.0960000000e+00,1.2146981231e-05
-9.0920000000e+00,1.2145334768e-05
-9.0880000000e+00,1.2143688660e-05
-9.0840000000e+00,1.2142042907e-05
-9.0800000000e+00,1.2140397508e-05
-9.0760000000e+00,1.2138752464e-05
-9.0720000000e+00,1.2137107774e-05
-9.0680000000e+00,1.2135463439e-05
-9.0640000000e+00,1.2133819458e-05
-9.0600000000e+00,1.2132175831e-05
-9.0560000000e+00,1.2130532558e-05
-9.0520000000e+00,1.2128889640e-05
-9.0480000000e+00,1.2127247075e-05
-9.0440000000e+00,1.2125604864e-05
-9.0400000000e+00,1.2123963006e-05
-9.0360000000e+00,1.2122321503e-05
-9.0320000000e+00,1.2120680353e-05
-9.0280000000e+00,1.2119039556e-05
-9.0240000000e+00,1.2117399113e-05
-9.0200000000e+00,1.2115759023e-05
-9.0160000000e+00,1.2114119286e-05
-9.0120000000e+00,1.2112479902e-05
-9.0080000000e+00,1.2110840871e-05
-9.0040000000e+00,1.2109202193e-05
-9.0000000000e+00,1.2107563868e-05
-8.9960000000e+00,1.2105925896e-05
-8.9920000000e+00,1.2104288276e-05
-8.9880000000e+00,1.2102651008e-05
-8.9840000000e+00,1.2101014093e-05
-8.9800000000e+00,1.2099377531e-05
-8.9760000000e+00,1.2097741320e-05
-8.9720000000e+00,1.2096105462e-05
-8.9680000000e+00,1.2094469956e-05
-8.9640000000e+00,1.2092834801e-05
-8.9600000000e+00,1.2091199999e-05
-8.9560000000e+00,1.2089565548e-05
-8.9520000000e+00,1.2087931449e-05
-8.9480000000e+00,1.2086297702e-05
-8.9440000000e+00,1.2084664306e-05
-8.9400000000e+00,1.2083031261e-05
-8.9360000000e+00,1.2081398568e-05
-8.9320000000e+00,1.2079766226e-05
-8.9280000000e+00,1.2078134235e-05
-8.9240000000e+00,1.2076502595e-05
-8.9200000000e+00,1.2074871306e-05
-8.9160000000e+00,1.2073240367e-05
-8.9120000000e+00,1.2071609780e-05
-8.9080000000e+00,1.2069979543e-05
-8.9040000000e+00,1.2068349657e-05
-8.9000000000e+00,1.2066720121e-05
-8.8960000000e+00,1.2065090935e-05
-8.8920000000e+00,1.2063462100e-05
-8.8880000000e+00,1.2061833615e-05
-8.8840000000e+00,1.2060205480e-05
-8.8800000000e+00,1.2058577695e-05
-8.8760000000e+00,1.2056950260e-05
-8.8720000000e+00,1.2055323174e-05
-8.8680000000e+00,1.2053696439e-05
-8.8640000000e+00,1.2052070053e-05
-8.8600000000e+00,1.2050444016e-05
-8.8560000000e+00,1.2048818329e-05
-8.8520000000e+00,1.2047192992e-05
-8.8480000000e+00,1.2045568003e-05
-8.8440000000e+00,1.2043943364e-05
-8.8400000000e+00,1.2042319074e-05
-8.8360000000e+00,1.2040695132e-05
-8.8320000000e+00,1.2039071540e-05
-8.8280000000e+00,1.2037448296e-05
-8.8240000000e+00,1.2035825401e-05
-8.8200000000e+00,1.2034202855e-05
-8.8160000000e+00,1.2032580657e-05
-8.8120000000e+00,1.2030958808e-05
-8.8080000000e+00,1.2029337307e-05
-8.8040000000e+00,1.2027716154e-05
-8.8000000000e+00,1.2026095349e-05
-8.7960000000e+00,1.2024474893e-05
-8.7920000000e+00,1.2022854784e-05
-8.7880000000e+00,1.2021235023e-05
-8.7840000000e+00,1.2019615610e-05
-8.7800000000e+00,1.2017996545e-05
-8.7760000000e+00,1.2016377827e-05
-8.7720000000e+00,1.2014759457e-05
-8.7680000000e+00,1.2013141434e-05
-8.7640000000e+00,1.2011523758e-05
-8.7600000000e+00,1.2009906430e-05
-8.7560000000e+00,1.2008289449e-05
-8.7520000000e+00,1.2006672814e-05
-8.7480000000e+00,1.2005056527e-05
-8.7440000000e+00,1.2003440587e-05
-8.7400000000e+00,1.2001824993e-05
-8.7360000000e+00,1.2000209746e-05
-8.7320000000e+00,1.1998594846e-05
-8.7280000000e+00,1.1996980292e-05
-8.7240000000e+00,1.1995366084e-05
-8.7200000000e+00,1.1993752223e-05
-8.7160000000e+00,1.1992138708e-05
-8.7120000000e+00,1.1990525539e-05
-8.7080000000e+00,1.1988912716e-05
-8.7040000000e+00,1.1987300239e-05
-8.7000000000e+00,1.1985688108e-05
-8.6960000000e+00,1.1984076322e-05
-8.6920000000e+00,1.1982464883e-05
-8.6880000000e+00,1.1980853788e-05
-8.6840000000e+00,1.1979243040e-05
-8.6800000000e+00,1.1977632636e-05
-8.6760000000e+00,1.1976022578e-05
-8.6720000000e+00,1.1974412866e-05
-8.6680000000e+00,1.1972803498e-05
-8.6640000000e+00,1.1971194475e-05
-8.6600000000e+00,1.1969585798e-05
-8.6560000000e+00,1.1967977465e-05
-8.6520000000e+00,1.1966369476e-05
-8.6480000000e+00,1.1964761833e-05
-8.6440000000e+00,1.1963154534e-05
-8.6400000000e+00,1.1961547579e-05
-8.6360000000e+00,1.1959940969e-05
-8.6320000000e+00,1.1958334703e-05
-8.6280000000e+00,1.1956728782e-05
-8.6240000000e+00,1.1955123204e-05
-8.6200000000e+00,1.1953517971e-05
-8.6160000000e+00,1.1951913081e-05
-8.6120000000e+00,1.1950308536e-05
-8.6080000000e+00,1.1948704334e-05
-8.6040000000e+00,1.1947100475e-05
-8.6000000000e+00,1.1945496960e-05
-8.5960000000e+00,1.1943893789e-05
-8.5920000000e+00,1.1942290961e-05
-8.5880000000e+00,1.1940688476e-05
-8.5840000000e+00,1.1939086335e-05
-8.5800000000e+00,1.1937484537e-05
-8.5760000000e+00,1.1935883081e-05
-8.5720000000e+00,1.1934281969e-05
-8.5680000000e+00,1.1932681199e-05
-8.5640000000e+00,1.1931080773e-05
-8.5600000000e+00,1.1929480688e-05
-8.5560000000e+00,1.1927880947e-05
-8.5520000000e+00,1.1926281548e-05
-8.5480000000e+00,1.1924682491e-05
-8.5440000000e+00,1.1923083776e-05
-8.5400000000e+00,1.1921485404e-05
-8.5360000000e+00,1.1919887374e-05
-8.5320000000e+00,1.1918289686e-05
-8.5280000000e+00,1.1916692340e-05
-8.5240000000e+00,1.1915095335e-05
-8.5200000000e+00,1.1913498673e-05
-8.5160000000e+00,1.1911902352e-05
-8.5120000000e+00,1.1910306373e-05
-8.5080000000e+00,1.1908710735e-05
-8.5040000000e+00,1.1907115438e-05
-8.5000000000e+00,1.1905520483e-05
-8.4960000000e+00,1.1903925869e-05
-8.4920000000e+00,1.1902331596e-05
-8.4880000000e+00,1.1900737664e-05
-8.4840000000e+00,1.1899144073e-05
-8.4800000000e+00,1.1897550823e-05
-8.4760000000e+00,1.1895957914e-05
-8.4720000000e+00,1.1894365346e-05
-8.4680000000e+00,1.1892773117e-05
-8.4640000000e+00,1.1891181230e-05
-8.4600000000e+00,1.1889589683e-05
-8.4560000000e+00,1.1887998476e-05
-8.4520000000e+00,1.1886407609e-05
-8.4480000000e+00,1.1884817083e-05
-8.4440000000e+00,1.1883226896e-05
-8.4400000000e+00,1.1881637050e-05
-8.4360000000e+00,1.1880047543e-05
-8.4320000000e+00,1.1878458376e-05
-8.4280000000e+00,1.1876869549e-05
-8.4240000000e+00,1.1875281062e-05
-8.4200000000e+00,1.1873692914e-05
-8.4160000000e+00,1.1872105105e-05
