N,w_ent
-1.0000000000e+01,-9.8849726201e-01
-9.9960000000e+00,-9.8849818219e-01
-9.9920000000e+00,-9.8849910230e-01
-9.9880000000e+00,-9.8850002234e-01
-9.9840000000e+00,-9.8850094230e-01
-9.9800000000e+00,-9.8850186219e-01
-9.9760000000e+00,-9.8850278200e-01
-9.9720000000e+00,-9.8850370174e-01
-9.9680000000e+00,-9.8850462141e-01
-9.9640000000e+00,-9.8850554100e-01
-9.9600000000e+00,-9.8850646052e-01
-9.9560000000e+00,-9.8850737997e-01
-9.9520000000e+00,-9.8850829934e-01
-9.9480000000e+00,-9.8850921864e-01
-9.9440000000e+00,-9.8851013787e-01
-9.9400000000e+00,-9.8851105702e-01
-9.9360000000e+00,-9.8851197610e-01
-9.9320000000e+00,-9.8851289510e-01
-9.9280000000e+00,-9.8851381403e-01
-9.9240000000e+00,-9.8851473289e-01
-9.9200000000e+00,-9.8851565168e-01
-9.9160000000e+00,-9.8851657039e-01
-9.9120000000e+00,-9.8851748903e-01
-9.9080000000e+00,-9.8851840759e-01
-9.9040000000e+00,-9.8851932608e-01
-9.9000000000e+00,-9.8852024450e-01
-9.8960000000e+00,-9.8852116284e-01
-9.8920000000e+00,-9.8852208111e-01
-9.8880000000e+00,-9.8852299931e-01
-9.8840000000e+00,-9.8852391743e-01
-9.8800000000e+00,-9.8852483548e-01
-9.8760000000e+00,-9.8852575346e-01
-9.8720000000e+00,-9.8852667136e-01
-9.8680000000e+00,-9.8852758919e-01
-9.8640000000e+00,-9.8852850695e-01
-9.8600000000e+00,-9.8852942463e-01
-9.8560000000e+00,-9.8853034224e-01
-9.8520000000e+00,-9.8853125977e-01
-9.8480000000e+00,-9.8853217724e-01
-9.8440000000e+00,-9.8853309463e-01
-9.8400000000e+00,-9.8853401194e-01
-9.8360000000e+00,-9.8853492918e-01
-9.8320000000e+00,-9.8853584635e-01
-9.8280000000e+00,-9.8853676345e-01
-9.8240000000e+00,-9.8853768047e-01
-9.8200000000e+00,-9.8853859742e-01
-9.8160000000e+00,-9.8853951430e-01
-9.8120000000e+00,-9.8854043110e-01
-9.8080000000e+00,-9.8854134783e-01
-9.8040000000e+00,-9.8854226448e-01
-9.8000000000e+00,-9.8854318106e-01
-9.7960000000e+00,-9.8854409757e-01
-9.7920000000e+00,-9.8854501401e-01
-9.7880000000e+00,-9.8854593037e-01
-9.7840000000e+00,-9.8854684666e-01
-9.7800000000e+00,-9.8854776288e-01
-9.7760000000e+00,-9.8854867902e-01
-9.7720000000e+00,-9.8854959509e-01
-9.7680000000e+00,-9.8855051108e-01
-9.7640000000e+00,-9.8855142700e-01
-9.7600000000e+00,-9.8855234285e-01
-9.7560000000e+00,-9.8855325863e-01
-9.7520000000e+00,-9.8855417433e-01
-9.7480000000e+00,-9.8855508996e-01
-9.7440000000e+00,-9.8855600552e-01
-9.7400000000e+00,-9.8855692100e-01
-9.7360000000e+00,-9.8855783641e-01
-9.7320000000e+00,-9.8855875175e-01
-9.7280000000e+00,-9.8855966701e-01
-9.7240000000e+00,-9.8856058220e-01
-9.7200000000e+00,-9.8856149732e-01
-9.7160000000e+00,-9.8856241236e-01
-9.7120000000e+00,-9.8856332733e-01
-9.7080000000e+00,-9.8856424223e-01
-9.7040000000e+00,-9.8856515705e-01
-9.7000000000e+00,-9.8856607180e-01
-9.6960000000e+00,-9.8856698648e-01
-9.6920000000e+00,-9.8856790109e-01
-9.6880000000e+00,-9.8856881562e-01
-9.6840000000e+00,-9.8856973008e-01
-9.6800000000e+00,-9.8857064446e-01
-9.6760000000e+00,-9.8857155877e-01
-9.6720000000e+00,-9.8857247301e-01
-9.6680000000e+00,-9.8857338718e-01
-9.6640000000e+00,-9.8857430127e-01
-9.6600000000e+00,-9.8857521529e-01
-9.6560000000e+00,-9.8857612923e-01
-9.6520000000e+00,-9.8857704311e-01
-9.6480000000e+00,-9.8857795691e-01
-9.6440000000e+00,-9.8857887063e-01
-9.6400000000e+00,-9.8857978429e-01
-9.6360000000e+00,-9.8858069787e-01
-9.6320000000e+00,-9.8858161138e-01
-9.6280000000e+00,-9.8858252481e-01
-9.6240000000e+00,-9.8858343817e-01
-9.6200000000e+00,-9.8858435146e-01
-9.6160000000e+00,-9.8858526468e-01
-9.6120000000e+00,-9.8858617782e-01
-9.6080000000e+00,-9.8858709089e-01
-9.6040000000e+00,-9.8858800388e-01
-9.6000000000e+00,-9.8858891681e-01
-9.5960000000e+00,-9.8858982966e-01
-9.5920000000e+00,-9.8859074243e-01
-9.5880000000e+00,-9.8859165514e-01
-9.5840000000e+00,-9.8859256777e-01
-9.5800000000e+00,-9.8859348033e-01
-9.5760000000e+00,-9.8859439281e-01
-9.5720000000e+00,-9.8859530522e-01
-9.5680000000e+00,-9.8859621756e-01
-9.5640000000e+00,-9.8859712983e-01
-9.5600000000e+00,-9.8859804202e-01
-9.5560000000e+00,-9.8859895414e-01
-9.5520000000e+00,-9.8859986619e-01
-9.5480000000e+00,-9.8860077816e-01
-9.5440000000e+00,-9.8860169007e-01
-9.5400000000e+00,-9.8860260189e-01
-9.5360000000e+00,-9.8860351365e-01
-9.5320000000e+00,-9.8860442533e-01
-9.5280000000e+00,-9.8860533694e-01
-9.5240000000e+00,-9.8860624848e-01
-9.5200000000e+00,-9.8860715994e-01
