k_code,P_zeta
9.2083066506e-01,6.2655688244e-16
9.4182782349e-01,6.4372568441e-16
9.6330376775e-01,6.6767224921e-16
9.8526941529e-01,6.9666932742e-16
1.0077359325e+00,7.2997284723e-16
1.0307147405e+00,7.6725188948e-16
1.0542175207e+00,8.0838348198e-16
1.0782562209e+00,8.5336309887e-16
1.1028430614e+00,9.0226728415e-16
1.1279905412e+00,9.5523804906e-16
1.1537114441e+00,1.0124402026e-15
1.1800188455e+00,1.0740835270e-15
1.2069261191e+00,1.1404255136e-15
1.2344469434e+00,1.2117376831e-15
1.2625953089e+00,1.2883297916e-15
1.2913855248e+00,1.3705241642e-15
1.3208322272e+00,1.4586779056e-15
1.3509503852e+00,1.5531841218e-15
1.3817553099e+00,1.6544737867e-15
1.4132626611e+00,1.7630174837e-15
1.4454884559e+00,1.8792587849e-15
1.4784490764e+00,2.0037719777e-15
1.5121612785e+00,2.1370760141e-15
1.5466422001e+00,2.2798367238e-15
1.5819093698e+00,2.4326201781e-15
1.6179807159e+00,2.5961733263e-15
1.6548745757e+00,2.7712482698e-15
1.6926097044e+00,2.9586356898e-15
1.7312052850e+00,3.1591754293e-15
1.7706809378e+00,3.3737501763e-15
1.8110567307e+00,3.6033749411e-15
1.8523531889e+00,3.8490938067e-15
1.8945913060e+00,4.1120254065e-15
1.9377925539e+00,4.3933673369e-15
1.9819788943e+00,4.6944026174e-15
2.0271727898e+00,5.0165053134e-15
2.0733972151e+00,5.3611303130e-15
2.1206756686e+00,5.7298009397e-15
2.1690321849e+00,6.1242457041e-15
2.2184913462e+00,6.5462674391e-15
2.2690782956e+00,6.9977961513e-15
2.3208187494e+00,7.4808984313e-15
2.3737390103e+00,7.9977865733e-15
2.4278659806e+00,8.5506979464e-15
2.4832271763e+00,9.1421596850e-15
2.5398507407e+00,9.7749740373e-15
2.5977654588e+00,1.0452041168e-14
2.6570007721e+00,1.1176457999e-14
2.7175867933e+00,1.1951154476e-14
2.7795543218e+00,1.2780018435e-14
2.8429348592e+00,1.3666850453e-14
2.9077606257e+00,1.4615649779e-14
2.9740645759e+00,1.5630305178e-14
3.0418804160e+00,1.6715916413e-14
3.1112426206e+00,1.7877463197e-14
3.1821864507e+00,1.9119831890e-14
3.2547479711e+00,2.0448736250e-14
3.3289640690e+00,2.1870586186e-14
3.4048724729e+00,2.3391689166e-14
3.4825117713e+00,2.5018357899e-14
3.5619214328e+00,2.6758788746e-14
3.6431418259e+00,2.8620958279e-14
3.7262142398e+00,3.0612042736e-14
3.8111809050e+00,3.2742359007e-14
3.8980850148e+00,3.5021672815e-14
3.9869707479e+00,3.7458890150e-14
4.0778832898e+00,4.0066328096e-14
4.1708688568e+00,4.2856107085e-14
4.2659747189e+00,4.5839155984e-14
4.3632492238e+00,4.9030431380e-14
4.4627418219e+00,5.2444836003e-14
4.5645030910e+00,5.6095639856e-14
4.6685847622e+00,6.0001281450e-14
4.7750397465e+00,6.4179942252e-14
4.8839221609e+00,6.8647592232e-14
4.9952873568e+00,7.3427240047e-14
5.1091919476e+00,7.8540745811e-14
5.2256938375e+00,8.4007707096e-14
5.3448522513e+00,8.9856575454e-14
5.4667277642e+00,9.6113260067e-14
5.5913823324e+00,1.0280286201e-13
5.7188793253e+00,1.0995963874e-13
5.8492835568e+00,1.1761438136e-13
5.9826613192e+00,1.2579944668e-13
6.1190804159e+00,1.3455592884e-13
6.2586101969e+00,1.4392024170e-13
6.4013215931e+00,1.5393426547e-13
6.5472871531e+00,1.6464712072e-13
6.6965810796e+00,1.7610167565e-13
6.8492792675e+00,1.8835223856e-13
7.0054593421e+00,2.0145734935e-13
7.1652006988e+00,2.1546724820e-13
7.3285845435e+00,2.3045239672e-13
7.4956939335e+00,2.4648150467e-13
7.6666138204e+00,2.6361573664e-13
7.8414310926e+00,2.8194393029e-13
8.0202346200e+00,3.0154505950e-13
8.2031152987e+00,3.2250008153e-13
8.3901660977e+00,3.4491449810e-13
8.5814821056e+00,3.6888064748e-13
8.7771605797e+00,3.9450528938e-13
8.9773009945e+00,4.2191344222e-13
9.1820050932e+00,4.5121268094e-13
9.3913769387e+00,4.8254329086e-13
9.6055229668e+00,5.1605305802e-13
9.8245520405e+00,5.5186687355e-13
1.0048575505e+01,5.9016833580e-13
1.0277707244e+01,6.3112610473e-13
1.0512063740e+01,6.7490167801e-13
1.0751764128e+01,7.2171736159e-13
1.0996930262e+01,7.7176790114e-13
1.1247686776e+01,8.2526809310e-13
1.1504161142e+01,8.8248047664e-13
1.1766483742e+01,9.4363104369e-13
1.2034787930e+01,1.0090037460e-12
1.2309210099e+01,1.0789079568e-12
1.2589889755e+01,1.1536050319e-12
1.2876969585e+01,1.2334681947e-12
1.3170595526e+01,1.3188528296e-12
1.3470916846e+01,1.4100852102e-12
1.3778086216e+01,1.5076281931e-12
1.4092259788e+01,1.6118868176e-12
1.4413597274e+01,1.7232967194e-12
1.4742262030e+01,1.8424028021e-12
1.5078421134e+01,1.9696734816e-12
1.5422245476e+01,2.1056859865e-12
1.5773909842e+01,2.2510803758e-12
1.6133593003e+01,2.4063962602e-12
1.6501477806e+01,2.5723933035e-12
1.6877751270e+01,2.7498079781e-12
1.7262604676e+01,2.9392997594e-12
1.7656233667e+01,3.1418218079e-12
1.8058838347e+01,3.3582057974e-12
1.8470623385e+01,3.5893329707e-12
1.8891798113e+01,3.8363212029e-12
1.9322576641e+01,4.1001280351e-12
1.9763177957e+01,4.3819207324e-12
2.0213826046e+01,4.6830068822e-12
2.0674749996e+01,5.0044836720e-12
2.1146184124e+01,5.3478857057e-12
2.1628368086e+01,5.7147146173e-12
2.2121547004e+01,6.1062898936e-12
2.2625971591e+01,6.5245462510e-12
2.3141898273e+01,6.9711634176e-12
2.3669589328e+01,7.4479018588e-12
2.4209313010e+01,7.9570175676e-12
2.4761343693e+01,8.5004302505e-12
2.5325962006e+01,9.0804656547e-12
2.5903454977e+01,9.6997449333e-12
2.6494116180e+01,1.0360448176e-11
2.7098245882e+01,1.1065622324e-11
2.7716151197e+01,1.1818258356e-11
2.8348146242e+01,1.2620934761e-11
2.8994552298e+01,1.3477491652e-11
2.9655697969e+01,1.4391230306e-11
3.0331919355e+01,1.5365575557e-11
3.1023560219e+01,1.6404961119e-11
3.1730972161e+01,1.7513112180e-11
3.2454514800e+01,1.8694527260e-11
3.3194555956e+01,1.9954297018e-11
3.3951471833e+01,2.1296586262e-11
3.4725647216e+01,2.2727247720e-11
3.5517475664e+01,2.4252016615e-11
3.6327359709e+01,2.5875707763e-11
3.7155711063e+01,2.7605660073e-11
3.8002950823e+01,2.9448069287e-11
3.8869509692e+01,3.1409282569e-11
3.9755828191e+01,3.3497637013e-11
4.0662356889e+01,3.5719976441e-11
4.1589556625e+01,3.8084569303e-11
4.2537898750e+01,4.0600812673e-11
4.3507865361e+01,4.3276171736e-11
4.4499949549e+01,4.6121314357e-11
4.5514655647e+01,4.9146624743e-11
4.6552499490e+01,5.2360494311e-11
4.7614008673e+01,5.5776221065e-11
4.8699722824e+01,5.9404730168e-11
4.9810193875e+01,6.3257065222e-11
5.0945986341e+01,6.7348091620e-11
5.2107677614e+01,7.1689649053e-11
5.3295858247e+01,7.6296167577e-11
5.4511132262e+01,8.1184212063e-11
5.5754117454e+01,8.6366562470e-11
5.7025445703e+01,9.1862000603e-11
5.8325763301e+01,9.7688822465e-11
5.9655731274e+01,1.0386145444e-10
6.1016025722e+01,1.1040375392e-10
6.2407338162e+01,1.1733520102e-10
6.3830375878e+01,1.2467558804e-10
6.5285862285e+01,1.3245220256e-10
