k_code,r
9.2083066506e-01,1.0838697652e+01
9.4182782349e-01,9.7282110644e+00
9.6330376775e-01,8.8145993491e+00
9.8526941529e-01,8.0348205934e+00
1.0077359325e+00,7.3547032356e+00
1.0307147405e+00,6.7530832567e+00
1.0542175207e+00,6.2156265619e+00
1.0782562209e+00,5.7320121392e+00
1.1028430614e+00,5.2943980031e+00
1.1279905412e+00,4.8965802619e+00
1.1537114441e+00,4.5337430008e+00
1.1800188455e+00,4.2018433758e+00
1.2069261191e+00,3.8974304536e+00
1.2344469434e+00,3.6176707476e+00
1.2625953089e+00,3.3600952889e+00
1.2913855248e+00,3.1226182327e+00
1.3208322272e+00,2.9033888373e+00
1.3509503852e+00,2.7007617980e+00
1.3817553099e+00,2.5132708387e+00
1.4132626611e+00,2.3396067698e+00
1.4454884559e+00,2.1786880538e+00
1.4784490764e+00,2.0294072623e+00
1.5121612785e+00,1.8908843734e+00
1.5466422001e+00,1.7622117421e+00
1.5819093698e+00,1.6426953608e+00
1.6179807159e+00,1.5315888992e+00
1.6548745757e+00,1.4282533136e+00
1.6926097044e+00,1.3321128477e+00
1.7312052850e+00,1.2426413030e+00
1.7706809378e+00,1.1593595585e+00
1.8110567307e+00,1.0818012210e+00
1.8523531889e+00,1.0095542675e+00
1.8945913060e+00,9.4223854534e-01
1.9377925539e+00,8.7950324614e-01
1.9819788943e+00,8.2102419379e-01
2.0271727898e+00,7.6650171517e-01
2.0733972151e+00,7.1566090216e-01
2.1206756686e+00,6.6825060952e-01
2.1690321849e+00,6.2402583389e-01
2.2184913462e+00,5.8276613999e-01
2.2690782956e+00,5.4426720245e-01
2.3208187494e+00,5.0833948752e-01
2.3737390103e+00,4.7480713143e-01
2.4278659806e+00,4.4351379176e-01
2.4832271763e+00,4.1430554890e-01
2.5398507407e+00,3.8703581915e-01
2.5977654588e+00,3.6157359545e-01
2.6570007721e+00,3.3779729087e-01
2.7175867933e+00,3.1560402500e-01
2.7795543218e+00,2.9487654117e-01
2.8429348592e+00,2.7551672933e-01
2.9077606257e+00,2.5743446635e-01
2.9740645759e+00,2.4055144528e-01
3.0418804160e+00,2.2477933760e-01
3.1112426206e+00,2.1004434174e-01
3.1821864507e+00,1.9628226321e-01
3.2547479711e+00,1.8342714640e-01
3.3289640690e+00,1.7141552005e-01
3.4048724729e+00,1.6019316162e-01
3.4825117713e+00,1.4971156755e-01
3.5619214328e+00,1.3991649273e-01
3.6431418259e+00,1.3076278332e-01
3.7262142398e+00,1.2221374814e-01
3.8111809050e+00,1.1422382426e-01
3.8980850148e+00,1.0675632776e-01
3.9869707479e+00,9.9781140402e-02
4.0778832898e+00,9.3262063681e-02
4.1708688568e+00,8.7168750643e-02
4.2659747189e+00,8.1476662695e-02
4.3632492238e+00,7.6156543734e-02
4.4627418219e+00,7.1183549436e-02
4.5645030910e+00,6.6537835185e-02
4.6685847622e+00,6.2195387822e-02
4.7750397465e+00,5.8136044335e-02
4.8839221609e+00,5.4343856529e-02
4.9952873568e+00,5.0798867254e-02
5.1091919476e+00,4.7484939554e-02
5.2256938375e+00,4.4389006773e-02
5.3448522513e+00,4.1494641300e-02
5.4667277642e+00,3.8789066292e-02
5.5913823324e+00,3.6261137076e-02
5.7188793253e+00,3.3897705624e-02
5.8492835568e+00,3.1688594141e-02
5.9826613192e+00,2.9624231744e-02
6.1190804159e+00,2.7694138405e-02
6.2586101969e+00,2.5890234404e-02
6.4013215931e+00,2.4204263326e-02
6.5472871531e+00,2.2627904494e-02
6.6965810796e+00,2.1154763331e-02
6.8492792675e+00,1.9777700814e-02
7.0054593421e+00,1.8490132817e-02
7.1652006988e+00,1.7287013621e-02
7.3285845435e+00,1.6162164652e-02
7.4956939335e+00,1.5110445407e-02
7.6666138204e+00,1.4127729538e-02
7.8414310926e+00,1.3208825925e-02
8.0202346200e+00,1.2349776543e-02
8.2031152987e+00,1.1546938724e-02
8.3901660977e+00,1.0796215901e-02
8.5814821056e+00,1.0094489281e-02
8.7771605797e+00,9.4385533983e-03
8.9773009945e+00,8.8251830957e-03
9.1820050932e+00,8.2519262696e-03
9.3913769387e+00,7.7159709027e-03
9.6055229668e+00,7.2147845555e-03
9.8245520405e+00,6.7464429865e-03
1.0048575505e+01,6.3084880697e-03
1.0277707244e+01,5.8989888466e-03
1.0512063740e+01,5.5162790391e-03
1.0751764128e+01,5.1583766395e-03
1.0996930262e+01,4.8237787660e-03
1.1247686776e+01,4.5110051951e-03
1.1504161142e+01,4.2184988322e-03
1.1766483742e+01,3.9450800918e-03
1.2034787930e+01,3.6894412129e-03
1.2309210099e+01,3.4503615678e-03
1.2589889755e+01,3.2269168674e-03
1.2876969585e+01,3.0179576578e-03
1.3170595526e+01,2.8225470381e-03
1.3470916846e+01,2.6399081984e-03
1.3778086216e+01,2.4690893478e-03
1.4092259788e+01,2.3093703669e-03
1.4413597274e+01,2.1600576237e-03
1.4742262030e+01,2.0204041629e-03
1.5078421134e+01,1.8898451047e-03
1.5422245476e+01,1.7677652947e-03
1.5773909842e+01,1.6535796340e-03
1.6133593003e+01,1.5468457736e-03
1.6501477806e+01,1.4470214103e-03
1.6877751270e+01,1.3536557923e-03
1.7262604676e+01,1.2663831751e-03
1.7656233667e+01,1.1847479380e-03
1.8058838347e+01,1.1084058297e-03
1.8470623385e+01,1.0370293494e-03
1.8891798113e+01,9.7026106838e-04
1.9322576641e+01,9.0783098235e-04
1.9763177957e+01,8.4944805619e-04
2.0213826046e+01,7.9483236283e-04
2.0674749996e+01,7.4377250546e-04
2.1146184124e+01,6.9601147350e-04
2.1628368086e+01,6.5133309246e-04
2.2121547004e+01,6.0956426887e-04
2.2625971591e+01,5.7048717316e-04
2.3141898273e+01,5.3393729751e-04
2.3669589328e+01,4.9975936945e-04
2.4209313010e+01,4.6778251165e-04
2.4761343693e+01,4.3787770795e-04
2.5325962006e+01,4.0990678359e-04
2.5903454977e+01,3.8373589549e-04
2.6494116180e+01,3.5926403471e-04
2.7098245882e+01,3.3636904068e-04
2.7716151197e+01,3.1494736686e-04
2.8348146242e+01,2.9491683650e-04
2.8994552298e+01,2.7617328616e-04
2.9655697969e+01,2.5863809247e-04
3.0331919355e+01,2.4223744271e-04
3.1023560219e+01,2.2688961235e-04
3.1730972161e+01,2.1253292543e-04
3.2454514800e+01,1.9910162772e-04
3.3194555956e+01,1.8653169196e-04
3.3951471833e+01,1.7477481343e-04
3.4725647216e+01,1.6377280529e-04
3.5517475664e+01,1.5347603917e-04
3.6327359709e+01,1.4384541391e-04
3.7155711063e+01,1.3483106081e-04
3.8002950823e+01,1.2639535129e-04
3.8869509692e+01,1.1850311354e-04
3.9755828191e+01,1.1111519815e-04
4.0662356889e+01,1.0420206887e-04
4.1589556625e+01,9.7732348156e-05
4.2537898750e+01,9.1675342143e-05
4.3507865361e+01,8.6007895621e-05
4.4499949549e+01,8.0702201123e-05
4.5514655647e+01,7.5734412812e-05
4.6552499490e+01,7.1085845269e-05
4.7614008673e+01,6.6732546644e-05
4.8699722824e+01,6.2656434673e-05
4.9810193875e+01,5.8840667752e-05
5.0945986341e+01,5.5266411702e-05
5.2107677614e+01,5.1919445073e-05
5.3295858247e+01,4.8784708144e-05
5.4511132262e+01,4.5847408950e-05
5.5754117454e+01,4.3096369673e-05
5.7025445703e+01,4.0518221243e-05
5.8325763301e+01,3.8101436345e-05
5.9655731274e+01,3.5837010777e-05
6.1016025722e+01,3.3713379877e-05
6.2407338162e+01,3.1721796346e-05
6.3830375878e+01,2.9854144543e-05
6.5285862285e+01,2.8101327488e-05
6.6774537289e+01,2.6456469834e-05
6.8297157671e+01,2.4912330326e-05
6.9854497467e+01,2.3461784393e-05
7.1447348364e+01,2.2099453508e-05
7.3076520100e+01,2.0818951840e-05
7.4742840879e+01,1.9614767969e-05
7.6447157787e+01,1.8482640644e-05
7.8190337228e+01,1.7417098305e-05
7.9973265361e+01,1.6414040775e-05
8.1796848553e+01,1.5469706194e-05
8.3662013837e+01,1.4579889567e-05
8.5569709384e+01,1.3741465510e-05
8.7520904988e+01,1.2951177234e-05
8.9516592554e+01,1.2205846164e-05
9.1557786606e+01,1.1503132951e-05
9.3645524802e+01,1.0840267818e-05
9.5780868460e+01,1.0214896596e-05
9.7964903101e+01,9.6252646003e-06
1.0019873899e+02,9.0690705026e-06
