k_code,N_star
9.2083066506e-01,-1.9324884033e-01
9.4182782349e-01,-1.3017266846e-01
9.6330376775e-01,-7.6578369141e-02
9.8526941529e-01,-2.8976440430e-02
1.0077359325e+00,1.4443969727e-02
1.0307147405e+00,5.4756805420e-02
1.0542175207e+00,9.2658752441e-02
1.0782562209e+00,1.2863073730e-01
1.1028430614e+00,1.6302288818e-01
1.1279905412e+00,1.9610043335e-01
1.1537114441e+00,2.2806227112e-01
1.1800188455e+00,2.5906871033e-01
1.2069261191e+00,2.8925111389e-01
1.2344469434e+00,3.1871398926e-01
1.2625953089e+00,3.4754522705e-01
1.2913855248e+00,3.7581698608e-01
1.3208322272e+00,4.0359130859e-01
1.3509503852e+00,4.3092169189e-01
1.3817553099e+00,4.5785449219e-01
1.4132626611e+00,4.8442997742e-01
1.4454884559e+00,5.1068098450e-01
1.4784490764e+00,5.3663989258e-01
1.5121612785e+00,5.6233218384e-01
1.5466422001e+00,5.8778334045e-01
1.5819093698e+00,6.1301275635e-01
1.6179807159e+00,6.3804061890e-01
1.6548745757e+00,6.6288401794e-01
1.6926097044e+00,6.8755812073e-01
1.7312052850e+00,7.1207658386e-01
1.7706809378e+00,7.3645169067e-01
1.8110567307e+00,7.6069518280e-01
1.8523531889e+00,7.8481733704e-01
1.8945913060e+00,8.0882754517e-01
1.9377925539e+00,8.3273433685e-01
1.9819788943e+00,8.5654554749e-01
2.0271727898e+00,8.8026835632e-01
2.0733972151e+00,9.0390927124e-01
2.1206756686e+00,9.2747420502e-01
2.1690321849e+00,9.5096887207e-01
2.2184913462e+00,9.7439837646e-01
2.2690782956e+00,9.9776741028e-01
2.3208187494e+00,1.0210803146e+00
2.3737390103e+00,1.0443410873e+00
2.4278659806e+00,1.0675532532e+00
2.4832271763e+00,1.0907202835e+00
2.5398507407e+00,1.1138454514e+00
2.5977654588e+00,1.1369316788e+00
2.6570007721e+00,1.1599816513e+00
2.7175867933e+00,1.1829976501e+00
2.7795543218e+00,1.2059822540e+00
2.8429348592e+00,1.2289376183e+00
2.9077606257e+00,1.2518657074e+00
2.9740645759e+00,1.2747682266e+00
3.0418804160e+00,1.2976470947e+00
3.1112426206e+00,1.3205039215e+00
3.1821864507e+00,1.3433400803e+00
3.2547479711e+00,1.3661570053e+00
3.3289640690e+00,1.3889560547e+00
3.4048724729e+00,1.4117384033e+00
3.4825117713e+00,1.4345050774e+00
3.5619214328e+00,1.4572572479e+00
3.6431418259e+00,1.4799958725e+00
3.7262142398e+00,1.5027217407e+00
3.8111809050e+00,1.5254358177e+00
3.8980850148e+00,1.5481388855e+00
3.9869707479e+00,1.5708315887e+00
4.0778832898e+00,1.5935146866e+00
4.1708688568e+00,1.6161888275e+00
4.2659747189e+00,1.6388545341e+00
4.3632492238e+00,1.6615124207e+00
4.4627418219e+00,1.6841630135e+00
4.5645030910e+00,1.7068067322e+00
4.6685847622e+00,1.7294440804e+00
4.7750397465e+00,1.7520754890e+00
4.8839221609e+00,1.7747012901e+00
4.9952873568e+00,1.7973219070e+00
5.1091919476e+00,1.8199376755e+00
5.2256938375e+00,1.8425488739e+00
5.3448522513e+00,1.8651558456e+00
5.4667277642e+00,1.8877588577e+00
5.5913823324e+00,1.9103581505e+00
5.7188793253e+00,1.9329539948e+00
5.8492835568e+00,1.9555466080e+00
5.9826613192e+00,1.9781361847e+00
6.1190804159e+00,2.0007229500e+00
6.2586101969e+00,2.0233070755e+00
6.4013215931e+00,2.0458887291e+00
6.5472871531e+00,2.0684680862e+00
6.6965810796e+00,2.0910452843e+00
6.8492792675e+00,2.1136204643e+00
7.0054593421e+00,2.1361937752e+00
7.1652006988e+00,2.1587653198e+00
7.3285845435e+00,2.1813352203e+00
7.4956939335e+00,2.2039035912e+00
7.6666138204e+00,2.2264705200e+00
7.8414310926e+00,2.2490361137e+00
8.0202346200e+00,2.2716004486e+00
8.2031152987e+00,2.2941636086e+00
8.3901660977e+00,2.3167256813e+00
8.5814821056e+00,2.3392867241e+00
8.7771605797e+00,2.3618468056e+00
8.9773009945e+00,2.3844060020e+00
9.1820050932e+00,2.4069643517e+00
9.3913769387e+00,2.4295219269e+00
9.6055229668e+00,2.4520787697e+00
9.8245520405e+00,2.4746349258e+00
1.0048575505e+01,2.4971904449e+00
1.0277707244e+01,2.5197453651e+00
1.0512063740e+01,2.5422997322e+00
1.0751764128e+01,2.5648535728e+00
1.0996930262e+01,2.5874069252e+00
1.1247686776e+01,2.6099598198e+00
1.1504161142e+01,2.6325122948e+00
1.1766483742e+01,2.6550643654e+00
1.2034787930e+01,2.6776160622e+00
1.2309210099e+01,2.7001674156e+00
1.2589889755e+01,2.7227184410e+00
1.2876969585e+01,2.7452691574e+00
1.3170595526e+01,2.7678195915e+00
1.3470916846e+01,2.7903697624e+00
1.3778086216e+01,2.8129196815e+00
1.4092259788e+01,2.8354693680e+00
1.4413597274e+01,2.8580188370e+00
1.4742262030e+01,2.8805681038e+00
1.5078421134e+01,2.9031171761e+00
1.5422245476e+01,2.9256660728e+00
1.5773909842e+01,2.9482148056e+00
1.6133593003e+01,2.9707633781e+00
1.6501477806e+01,2.9933118095e+00
1.6877751270e+01,3.0158601036e+00
1.7262604676e+01,3.0384082680e+00
1.7656233667e+01,3.0609563179e+00
1.8058838347e+01,3.0835042534e+00
1.8470623385e+01,3.1060520821e+00
1.8891798113e+01,3.1285998192e+00
1.9322576641e+01,3.1511474648e+00
1.9763177957e+01,3.1736950188e+00
2.0213826046e+01,3.1962425003e+00
2.0674749996e+01,3.2187899055e+00
