k_code,P_t
9.2083066506e-01,6.7910606107e-15
9.4182782349e-01,6.2622993255e-15
9.6330376775e-01,5.8852633733e-15
9.8526941529e-01,5.5976130588e-15
1.0077359325e+00,5.3687336614e-15
1.0307147405e+00,5.1813158885e-15
1.0542175207e+00,5.0246098428e-15
1.0782562209e+00,4.8914876419e-15
1.1028430614e+00,4.7769621075e-15
1.1279905412e+00,4.6773997764e-15
1.1537114441e+00,4.5901436825e-15
1.1800188455e+00,4.5131307531e-15
1.2069261191e+00,4.4447291268e-15
1.2344469434e+00,4.3836679699e-15
1.2625953089e+00,4.3289108634e-15
1.2913855248e+00,4.2796237436e-15
1.3208322272e+00,4.2351091483e-15
1.3509503852e+00,4.1947803414e-15
1.3817553099e+00,4.1581407215e-15
1.4132626611e+00,4.1247676401e-15
1.4454884559e+00,4.0943186646e-15
1.4784490764e+00,4.0664694036e-15
1.5121612785e+00,4.0409636399e-15
1.5466422001e+00,4.0175550446e-15
1.5819093698e+00,3.9960538813e-15
1.6179807159e+00,3.9762702469e-15
1.6548745757e+00,3.9580445240e-15
1.6926097044e+00,3.9412366141e-15
1.7312052850e+00,3.9257218717e-15
1.7706809378e+00,3.9113895148e-15
1.8110567307e+00,3.8981354112e-15
1.8523531889e+00,3.8858690785e-15
1.8945913060e+00,3.8745088374e-15
1.9377925539e+00,3.8639808343e-15
1.9819788943e+00,3.8542181242e-15
2.0271727898e+00,3.8451599269e-15
2.0733972151e+00,3.8367513564e-15
2.1206756686e+00,3.8289429704e-15
2.1690321849e+00,3.8216875324e-15
2.2184913462e+00,3.8149430068e-15
2.2690782956e+00,3.8086709345e-15
2.3208187494e+00,3.8028360748e-15
2.3737390103e+00,3.7974061006e-15
2.4278659806e+00,3.7923524684e-15
2.4832271763e+00,3.7876474865e-15
2.5398507407e+00,3.7832650837e-15
2.5977654588e+00,3.7791821049e-15
2.6570007721e+00,3.7753772336e-15
2.7175867933e+00,3.7718324560e-15
2.7795543218e+00,3.7685276322e-15
2.8429348592e+00,3.7654459370e-15
2.9077606257e+00,3.7625720012e-15
