k_code,r_over_minus8nt
9.2083066506e-01,1.0000000000e+00
9.4182782349e-01,1.0000000000e+00
9.6330376775e-01,1.0000000000e+00
9.8526941529e-01,1.0000000000e+00
1.0077359325e+00,1.0000000000e+00
1.0307147405e+00,1.0000000000e+00
1.0542175207e+00,1.0000000000e+00
1.0782562209e+00,1.0000000000e+00
1.1028430614e+00,1.0000000000e+00
1.1279905412e+00,1.0000000000e+00
1.1537114441e+00,1.0000000000e+00
1.1800188455e+00,1.0000000000e+00
1.2069261191e+00,1.0000000000e+00
1.2344469434e+00,1.0000000000e+00
1.2625953089e+00,1.0000000000e+00
1.2913855248e+00,1.0000000000e+00
1.3208322272e+00,1.0000000000e+00
1.3509503852e+00,1.0000000000e+00
1.3817553099e+00,1.0000000000e+00
1.4132626611e+00,1.0000000000e+00
1.4454884559e+00,1.0000000000e+00
1.4784490764e+00,1.0000000000e+00
1.5121612785e+00,1.0000000000e+00
1.5466422001e+00,1.0000000000e+00
1.5819093698e+00,1.0000000000e+00
1.6179807159e+00,1.0000000000e+00
1.6548745757e+00,1.0000000000e+00
1.6926097044e+00,1.0000000000e+00
1.7312052850e+00,1.0000000000e+00
1.7706809378e+00,1.0000000000e+00
1.8110567307e+00,1.0000000000e+00
1.8523531889e+00,1.0000000000e+00
1.8945913060e+00,1.0000000000e+00
1.9377925539e+00,1.0000000000e+00
1.9819788943e+00,1.0000000000e+00
2.0271727898e+00,1.0000000000e+00
2.0733972151e+00,1.0000000000e+00
2.1206756686e+00,1.0000000000e+00
2.1690321849e+00,1.0000000000e+00
2.2184913462e+00,1.0000000000e+00
2.2690782956e+00,1.0000000000e+00
2.3208187494e+00,1.0000000000e+00
2.3737390103e+00,1.0000000000e+00
2.4278659806e+00,1.0000000000e+00
2.4832271763e+00,1.0000000000e+00
2.5398507407e+00,1.0000000000e+00
2.5977654588e+00,1.0000000000e+00
2.6570007721e+00,1.0000000000e+00
2.7175867933e+00,1.0000000000e+00
2.7795543218e+00,1.0000000000e+00
2.8429348592e+00,1.0000000000e+00
2.9077606257e+00,1.0000000000e+00
2.9740645759e+00,1.0000000000e+00
3.0418804160e+00,1.0000000000e+00
3.1112426206e+00,1.0000000000e+00
3.1821864507e+00,1.0000000000e+00
3.2547479711e+00,1.0000000000e+00
3.3289640690e+00,1.0000000000e+00
3.4048724729e+00,1.0000000000e+00
3.4825117713e+00,1.0000000000e+00
3.5619214328e+00,1.0000000000e+00
3.6431418259e+00,1.0000000000e+00
3.7262142398e+00,1.0000000000e+00
3.8111809050e+00,1.0000000000e+00
3.8980850148e+00,1.0000000000e+00
3.9869707479e+00,1.0000000000e+00
4.0778832898e+00,1.0000000000e+00
4.1708688568e+00,1.0000000000e+00
4.2659747189e+00,1.0000000000e+00
4.3632492238e+00,1.0000000000e+00
4.4627418219e+00,1.0000000000e+00
4.5645030910e+00,1.0000000000e+00
4.6685847622e+00,1.0000000000e+00
4.7750397465e+00,1.0000000000e+00
4.8839221609e+00,1.0000000000e+00
4.9952873568e+00,1.0000000000e+00
5.1091919476e+00,1.0000000000e+00
5.2256938375e+00,1.0000000000e+00
5.3448522513e+00,1.0000000000e+00
5.4667277642e+00,1.0000000000e+00
5.5913823324e+00,1.0000000000e+00
5.7188793253e+00,1.0000000000e+00
5.8492835568e+00,1.0000000000e+00
5.9826613192e+00,1.0000000000e+00
6.1190804159e+00,1.0000000000e+00
6.2586101969e+00,1.0000000000e+00
6.4013215931e+00,1.0000000000e+00
6.5472871531e+00,1.0000000000e+00
6.6965810796e+00,1.0000000000e+00
