k_code,n_t
9.2083066506e-01,-1.3548372065e+00
9.4182782349e-01,-1.2160263831e+00
9.6330376775e-01,-1.1018249186e+00
9.8526941529e-01,-1.0043525742e+00
1.0077359325e+00,-9.1933790444e-01
1.0307147405e+00,-8.4413540709e-01
1.0542175207e+00,-7.7695332024e-01
1.0782562209e+00,-7.1650151740e-01
1.1028430614e+00,-6.6179975039e-01
1.1279905412e+00,-6.1207253273e-01
1.1537114441e+00,-5.6671787511e-01
1.1800188455e+00,-5.2523042197e-01
1.2069261191e+00,-4.8717880671e-01
1.2344469434e+00,-4.5220884345e-01
1.2625953089e+00,-4.2001191111e-01
1.2913855248e+00,-3.9032727909e-01
1.3208322272e+00,-3.6292360467e-01
1.3509503852e+00,-3.3759522475e-01
1.3817553099e+00,-3.1415885483e-01
1.4132626611e+00,-2.9245084622e-01
1.4454884559e+00,-2.7233600672e-01
1.4784490764e+00,-2.5367590779e-01
1.5121612785e+00,-2.3636054668e-01
1.5466422001e+00,-2.2027646776e-01
1.5819093698e+00,-2.0533692011e-01
1.6179807159e+00,-1.9144861240e-01
1.6548745757e+00,-1.7853166420e-01
1.6926097044e+00,-1.6651410596e-01
1.7312052850e+00,-1.5533016287e-01
1.7706809378e+00,-1.4491994481e-01
1.8110567307e+00,-1.3522515263e-01
1.8523531889e+00,-1.2619428344e-01
1.8945913060e+00,-1.1777981817e-01
1.9377925539e+00,-1.0993790577e-01
1.9819788943e+00,-1.0262802422e-01
2.0271727898e+00,-9.5812714397e-02
2.0733972151e+00,-8.9457612769e-02
2.1206756686e+00,-8.3531326190e-02
2.1690321849e+00,-7.8003229236e-02
2.2184913462e+00,-7.2845767498e-02
2.2690782956e+00,-6.8033400306e-02
2.3208187494e+00,-6.3542435940e-02
2.3737390103e+00,-5.9350891428e-02
2.4278659806e+00,-5.5439223970e-02
2.4832271763e+00,-5.1788193613e-02
2.5398507407e+00,-4.8379477394e-02
2.5977654588e+00,-4.5196699431e-02
2.6570007721e+00,-4.2224661359e-02
2.7175867933e+00,-3.9450503126e-02
2.7795543218e+00,-3.6859567646e-02
2.8429348592e+00,-3.4439591166e-02
2.9077606257e+00,-3.2179308294e-02
2.9740645759e+00,-3.0068930660e-02
3.0418804160e+00,-2.8097417200e-02
3.1112426206e+00,-2.6255542717e-02
3.1821864507e+00,-2.4535282901e-02
3.2547479711e+00,-2.2928393300e-02
3.3289640690e+00,-2.1426940007e-02
3.4048724729e+00,-2.0024145202e-02
3.4825117713e+00,-1.8713945944e-02
3.5619214328e+00,-1.7489561591e-02
3.6431418259e+00,-1.6345347914e-02
3.7262142398e+00,-1.5276718518e-02
3.8111809050e+00,-1.4277978032e-02
3.8980850148e+00,-1.3344540970e-02
3.9869707479e+00,-1.2472642550e-02
4.0778832898e+00,-1.1657757960e-02
4.1708688568e+00,-1.0896093830e-02
4.2659747189e+00,-1.0184582837e-02
4.3632492238e+00,-9.5195679667e-03
4.4627418219e+00,-8.8979436795e-03
4.5645030910e+00,-8.3172293982e-03
4.6685847622e+00,-7.7744234778e-03
4.7750397465e+00,-7.2670055419e-03
4.8839221609e+00,-6.7929820661e-03
4.9952873568e+00,-6.3498584067e-03
5.1091919476e+00,-5.9356174443e-03
5.2256938375e+00,-5.5486258467e-03
5.3448522513e+00,-5.1868301625e-03
5.4667277642e+00,-4.8486332865e-03
5.5913823324e+00,-4.5326421345e-03
5.7188793253e+00,-4.2372132030e-03
5.8492835568e+00,-3.9610742677e-03
5.9826613192e+00,-3.7030289679e-03
6.1190804159e+00,-3.4617673006e-03
6.2586101969e+00,-3.2362793005e-03
6.4013215931e+00,-3.0255329158e-03
6.5472871531e+00,-2.8284880618e-03
6.6965810796e+00,-2.6443454164e-03
6.8492792675e+00,-2.4722126018e-03
7.0054593421e+00,-2.3112666021e-03
7.1652006988e+00,-2.1608767027e-03
7.3285845435e+00,-2.0202705816e-03
7.4956939335e+00,-1.8888056759e-03
7.6666138204e+00,-1.7659661922e-03
7.8414310926e+00,-1.6511032407e-03
8.0202346200e+00,-1.5437220679e-03
8.2031152987e+00,-1.4433673405e-03
8.3901660977e+00,-1.3495269876e-03
8.5814821056e+00,-1.2618111602e-03
8.7771605797e+00,-1.1798191748e-03
8.9773009945e+00,-1.1031478870e-03
9.1820050932e+00,-1.0314907837e-03
9.3913769387e+00,-9.6449636284e-04
9.6055229668e+00,-9.0184806943e-04
9.8245520405e+00,-8.4330537332e-04
1.0048575505e+01,-7.8856100871e-04
1.0277707244e+01,-7.3737360582e-04
1.0512063740e+01,-6.8953487989e-04
1.0751764128e+01,-6.4479707994e-04
1.0996930262e+01,-6.0297234575e-04
1.1247686776e+01,-5.6387564938e-04
1.1504161142e+01,-5.2731235403e-04
1.1766483742e+01,-4.9313501147e-04
1.2034787930e+01,-4.6118015161e-04
1.2309210099e+01,-4.3129519597e-04
1.2589889755e+01,-4.0336460843e-04
1.2876969585e+01,-3.7724470723e-04
1.3170595526e+01,-3.5281837976e-04
1.3470916846e+01,-3.2998852480e-04
1.3778086216e+01,-3.0863616848e-04
1.4092259788e+01,-2.8867129588e-04
1.4413597274e+01,-2.7000720297e-04
1.4742262030e+01,-2.5255052039e-04
1.5078421134e+01,-2.3623063812e-04
1.5422245476e+01,-2.2097066188e-04
1.5773909842e+01,-2.0669745431e-04
1.6133593003e+01,-1.9335572177e-04
1.6501477806e+01,-1.8087767639e-04
1.6877751270e+01,-1.6920697416e-04
1.7262604676e+01,-1.5829789706e-04
1.7656233667e+01,-1.4809349248e-04
1.8058838347e+01,-1.3855072903e-04
1.8470623385e+01,-1.2962866909e-04
1.8891798113e+01,-1.2128263409e-04
1.9322576641e+01,-1.1347887351e-04
1.9763177957e+01,-1.0618100797e-04
2.0213826046e+01,-9.9354046600e-05
2.0674749996e+01,-9.2971564813e-05
2.1146184124e+01,-8.7001436318e-05
2.1628368086e+01,-8.1416639331e-05
2.2121547004e+01,-7.6195537207e-05
2.2625971591e+01,-7.1310901299e-05
2.3141898273e+01,-6.6742168190e-05
2.3669589328e+01,-6.2469928896e-05
2.4209313010e+01,-5.8472823843e-05
2.4761343693e+01,-5.4734726123e-05
2.5325962006e+01,-5.1238364031e-05
2.5903454977e+01,-4.7967007353e-05
2.6494116180e+01,-4.4908030177e-05
2.7098245882e+01,-4.2046162681e-05
2.7716151197e+01,-3.9368461851e-05
2.8348146242e+01,-3.6864655959e-05
2.8994552298e+01,-3.4521725008e-05
2.9655697969e+01,-3.2329841596e-05
3.0331919355e+01,-3.0279779755e-05
3.1023560219e+01,-2.8361324645e-05
3.1730972161e+01,-2.6566767638e-05
3.2454514800e+01,-2.4887890469e-05
3.3194555956e+01,-2.3316690910e-05
3.3951471833e+01,-2.1847132262e-05
3.4725647216e+01,-2.0471942767e-05
3.5517475664e+01,-1.9184920724e-05
3.6327359709e+01,-1.7981180638e-05
3.7155711063e+01,-1.6854491344e-05
3.8002950823e+01,-1.5800152057e-05
3.8869509692e+01,-1.4813769480e-05
3.9755828191e+01,-1.3890453487e-05
4.0662356889e+01,-1.3026516096e-05
4.1589556625e+01,-1.2218039623e-05
4.2537898750e+01,-1.1461192335e-05
4.3507865361e+01,-1.0753085481e-05
4.4499949549e+01,-1.0090249250e-05
4.5514655647e+01,-9.4697096649e-06
4.6552499490e+01,-8.8891385915e-06
4.7614008673e+01,-8.3455499809e-06
4.8699722824e+01,-7.8366923135e-06
4.9810193875e+01,-7.3604698696e-06
5.0945986341e+01,-6.9145382430e-06
5.2107677614e+01,-6.4971305519e-06
5.3295858247e+01,-6.1063755635e-06
5.4511132262e+01,-5.7404358782e-06
5.5754117454e+01,-5.3979268468e-06
5.7025445703e+01,-5.0771896951e-06
5.8325763301e+01,-4.7767962521e-06
5.9655731274e+01,-4.4956345809e-06
6.1016025722e+01,-4.2322714465e-06
6.2407338162e+01,-3.9856263710e-06
6.3830375878e+01,-3.7546976462e-06
6.5285862285e+01,-3.5383591601e-06
6.6774537289e+01,-3.3357628467e-06
6.8297157671e+01,-3.1460131135e-06
6.9854497467e+01,-2.9682268639e-06
7.1447348364e+01,-2.8017392999e-06
7.3076520100e+01,-2.6457555505e-06
7.4742840879e+01,-2.4995880589e-06
7.6447157787e+01,-2.3627050482e-06
7.8190337228e+01,-2.2344165611e-06
7.9973265361e+01,-2.1142032141e-06
8.1796848553e+01,-2.0015849006e-06
8.3662013837e+01,-1.8960193126e-06
8.5569709384e+01,-1.7970985549e-06
8.7520904988e+01,-1.7043927397e-06
8.9516592554e+01,-1.6174764222e-06
9.1557786606e+01,-1.5360295939e-06
9.3645524802e+01,-1.4596702948e-06
9.5780868460e+01,-1.3880665443e-06
9.7964903101e+01,-1.3209633957e-06
1.0019873899e+02,-1.2580277369e-06
1.0248351173e+02,-1.1990090933e-06
1.0482038279e+02,-1.1436767591e-06
1.0721054014e+02,-1.0917687633e-06
1.0965519884e+02,-1.0430882287e-06
1.1215560166e+02,-9.9742823555e-07
1.1471301968e+02,-9.5458308631e-07
1.1732875299e+02,-9.1439833119e-07
1.2000413133e+02,-8.7668964343e-07
1.2274051475e+02,-8.4129639376e-07
1.2553929430e+02,-8.0809571430e-07
1.2840189277e+02,-7.7692634675e-07
1.3132976538e+02,-7.4766698467e-07
1.3432440054e+02,-7.2020635765e-07
1.3738732061e+02,-6.9441747534e-07
1.4052008263e+02,-6.7020490399e-07
1.4372427918e+02,-6.4746870882e-07
1.4700153913e+02,-6.2610896041e-07
1.5035352851e+02,-6.0605084436e-07
1.5378195132e+02,-5.8720506618e-07
1.5728855044e+02,-5.6949349136e-07
1.6087510847e+02,-5.5285669383e-07
1.6454344866e+02,-5.3721630633e-07
1.6829543586e+02,-5.2251322144e-07
1.7213297740e+02,-5.0869366292e-07
1.7605802414e+02,-4.9569558054e-07
1.8007257140e+02,-4.8347271298e-07
1.8417866002e+02,-4.7197636697e-07
1.8837837735e+02,-4.6115790738e-07
1.9267385836e+02,-4.5098077878e-07
1.9706728669e+02,-4.4140163885e-07
2.0156089577e+02,-4.3238215097e-07
2.0615696997e+02,-4.2389356864e-07
2.1085784574e+02,-4.1589737908e-07
2.1566591281e+02,-4.0836485721e-07
2.2058361539e+02,-4.0126969451e-07
2.2561345345e+02,-3.9458152357e-07
2.3075798393e+02,-3.8827769791e-07
2.3601982211e+02,-3.8233440715e-07
2.4140164288e+02,-3.7672777093e-07
2.4690618214e+02,-3.7143990324e-07
2.5253623815e+02,-3.6644956508e-07
2.5829467301e+02,-3.6173787869e-07
2.6418441407e+02,-3.5729075056e-07
2.7020845541e+02,-3.5308929003e-07
2.7636985942e+02,-3.4911933991e-07
2.8267175829e+02,-3.4536795235e-07
2.8911735564e+02,-3.4182012367e-07
