k_code,nbar
9.2083066506e-01,5.5244253969e-42
9.4182782349e-01,1.1950596399e-41
9.6330376775e-01,2.5769871159e-41
9.8526941529e-01,5.5393029322e-41
1.0077359325e+00,1.1869110880e-40
1.0307147405e+00,2.5351371474e-40
1.0542175207e+00,5.3976526389e-40
1.0782562209e+00,1.1455883999e-39
1.1028430614e+00,2.4236643995e-39
1.1279905412e+00,5.1113610758e-39
1.1537114441e+00,1.0745356793e-38
1.1800188455e+00,2.2517767006e-38
1.2069261191e+00,4.7038125134e-38
1.2344469434e+00,9.7947845280e-38
1.2625953089e+00,2.0331057630e-37
1.2913855248e+00,4.2067359961e-37
1.3208322272e+00,8.6766233524e-37
1.3509503852e+00,1.7839243540e-36
1.3817553099e+00,3.6561358561e-36
1.4132626611e+00,7.4694464320e-36
1.4454884559e+00,1.5211593472e-35
1.4784490764e+00,3.0880278272e-35
1.5121612785e+00,6.2489622556e-35
1.5466422001e+00,1.2605346818e-34
1.5819093698e+00,2.5346727643e-34
1.6179807159e+00,5.0805320895e-34
1.6548745757e+00,1.0151184020e-33
1.6926097044e+00,2.0218289188e-33
1.7312052850e+00,4.0141380934e-33
1.7706809378e+00,7.9443874217e-33
1.8110567307e+00,1.5672876909e-32
1.8523531889e+00,3.0821745624e-32
1.8945913060e+00,6.0420726416e-32
1.9377925539e+00,1.1806871979e-31
1.9819788943e+00,2.2998735976e-31
2.0271727898e+00,4.4657384367e-31
2.0733972151e+00,8.6437619639e-31
2.1206756686e+00,1.6677560170e-30
2.1690321849e+00,3.2076164734e-30
2.2184913462e+00,6.1496805373e-30
2.2690782956e+00,1.1752841455e-29
2.3208187494e+00,2.2389964289e-29
2.3737390103e+00,4.2519106109e-29
2.4278659806e+00,8.0488725725e-29
2.4832271763e+00,1.5188195526e-28
2.5398507407e+00,2.8569162442e-28
2.5977654588e+00,5.3568444893e-28
2.6570007721e+00,1.0012459462e-27
2.7175867933e+00,1.8654890494e-27
2.7795543218e+00,3.4646936391e-27
2.8429348592e+00,6.4144167780e-27
2.9077606257e+00,1.1837764951e-26
2.9740645759e+00,2.1777220648e-26
3.0418804160e+00,3.9935156605e-26
3.1112426206e+00,7.3000953670e-26
3.1821864507e+00,1.3302151108e-25
3.2547479711e+00,2.4162141406e-25
3.3289640690e+00,4.3749104488e-25
3.4048724729e+00,7.8962904618e-25
3.4825117713e+00,1.4206832636e-24
3.5619214328e+00,2.5479541850e-24
3.6431418259e+00,4.5551865394e-24
3.7262142398e+00,8.1178480831e-24
3.8111809050e+00,1.4421016520e-23
3.8980850148e+00,2.5537067855e-23
3.9869707479e+00,4.5078181512e-23
4.0778832898e+00,7.9319861442e-23
4.1708688568e+00,1.3912901398e-22
4.2659747189e+00,2.4326166170e-22
4.3632492238e+00,4.2398435579e-22
4.4627418219e+00,7.3662456373e-22
4.5645030910e+00,1.2757417337e-21
4.6685847622e+00,2.2024168976e-21
4.7750397465e+00,3.7901508839e-21
4.8839221609e+00,6.5018009510e-21
4.9952873568e+00,1.1118111918e-20
5.1091919476e+00,1.8951719271e-20
5.2256938375e+00,3.2202262748e-20
5.3448522513e+00,5.4543671122e-20
5.4667277642e+00,9.2092135266e-20
5.5913823324e+00,1.5499615388e-19
5.7188793253e+00,2.6003960754e-19
5.8492835568e+00,4.3488886061e-19
5.9826613192e+00,7.2499876505e-19
6.1190804159e+00,1.2048041405e-18
6.2586101969e+00,1.9957945732e-18
6.4013215931e+00,3.2956070620e-18
6.5472871531e+00,5.4246936060e-18
6.6965810796e+00,8.9009262770e-18
6.8492792675e+00,1.4558458596e-17
7.0054593421e+00,2.3736451201e-17
7.1652006988e+00,3.8577704608e-17
7.3285845435e+00,6.2499591577e-17
7.4956939335e+00,1.0093416085e-16
7.6666138204e+00,1.6248728255e-16
7.8414310926e+00,2.6074787382e-16
8.0202346200e+00,4.1710210103e-16
8.2031152987e+00,6.6509576212e-16
8.3901660977e+00,1.0571732977e-15
8.5814821056e+00,1.6750523754e-15
8.7771605797e+00,2.6456403064e-15
8.9773009945e+00,4.1653682970e-15
9.1820050932e+00,6.5372669152e-15
9.3913769387e+00,1.0227258406e-14
9.6055229668e+00,1.5949329937e-14
9.8245520405e+00,2.4793957744e-14
1.0048575505e+01,3.8421071516e-14
1.0277707244e+01,5.9348984184e-14
1.0512063740e+01,9.1385503453e-14
1.0751764128e+01,1.4026894448e-13
1.0996930262e+01,2.1461790471e-13
1.1247686776e+01,3.2733359002e-13
1.1504161142e+01,4.9766305142e-13
1.1766483742e+01,7.5422413220e-13
1.2034787930e+01,1.1394247568e-12
1.2309210099e+01,1.7158964672e-12
1.2589889755e+01,2.5758271130e-12
1.2876969585e+01,3.8544511136e-12
1.3170595526e+01,5.7494800964e-12
1.3470916846e+01,8.5489900047e-12
1.3778086216e+01,1.2671302100e-11
1.4092259788e+01,1.8721812114e-11
1.4413597274e+01,2.7573679367e-11
1.4742262030e+01,4.0481981433e-11
1.5078421134e+01,5.9244631554e-11
1.5422245476e+01,8.6428394565e-11
1.5773909842e+01,1.2568518547e-10
1.6133593003e+01,1.8219310453e-10
1.6501477806e+01,2.6326915739e-10
1.6877751270e+01,3.7921737893e-10
1.7262604676e+01,5.4449849320e-10
1.7656233667e+01,7.7933706892e-10
1.8058838347e+01,1.1119216510e-09
1.8470623385e+01,1.5814054864e-09
1.8891798113e+01,2.2419839384e-09
1.9322576641e+01,3.1684142234e-09
1.9763177957e+01,4.4634596482e-09
2.0213826046e+01,6.2678915427e-09
2.0674749996e+01,8.7738768529e-09
2.1146184124e+01,1.2242829391e-08
2.1628368086e+01,1.7029122194e-08
2.2121547004e+01,2.3611464641e-08
2.2625971591e+01,3.2634261920e-08
2.3141898273e+01,4.4961921544e-08
2.3669589328e+01,6.1749882214e-08
2.4209313010e+01,8.4537150514e-08
2.4761343693e+01,1.1536638332e-07
2.5325962006e+01,1.5693909803e-07
2.5903454977e+01,2.1281548641e-07
2.6494116180e+01,2.8767061726e-07
2.7098245882e+01,3.8762161246e-07
2.7716151197e+01,5.2064375545e-07
2.8348146242e+01,6.9709753228e-07
2.8994552298e+01,9.3039341560e-07
2.9655697969e+01,1.2378268890e-06
3.0331919355e+01,1.6416228870e-06
3.1023560219e+01,2.1702366103e-06
3.1730972161e+01,2.8599666840e-06
3.2454514800e+01,3.7569469620e-06
3.3194555956e+01,4.9195950456e-06
3.3951471833e+01,6.4216088476e-06
3.4725647216e+01,8.3556173424e-06
3.5517475664e+01,1.0837607999e-05
3.6327359709e+01,1.4012271239e-05
3.7155711063e+01,1.8059421485e-05
3.8002950823e+01,2.3201674730e-05
3.8869509692e+01,2.9713583769e-05
3.9755828191e+01,3.7932453862e-05
4.0662356889e+01,4.8271082983e-05
4.1589556625e+01,6.1232691332e-05
4.2537898750e+01,7.7428323394e-05
4.3507865361e+01,9.7597021482e-05
4.4499949549e+01,1.2262908105e-04
4.5514655647e+01,1.5359270363e-04
4.6552499490e+01,1.9176436116e-04
4.7614008673e+01,2.3866317410e-04
4.8699722824e+01,2.9608958268e-04
4.9810193875e+01,3.6616855395e-04
5.0945986341e+01,4.5139751454e-04
5.2107677614e+01,5.5469912830e-04
5.3295858247e+01,6.7947894648e-04
5.4511132262e+01,8.2968784470e-04
5.5754117454e+01,1.0098890232e-03
5.7025445703e+01,1.2253291841e-03
5.8325763301e+01,1.4820133112e-03
5.9655731274e+01,1.7867822639e-03
6.1016025722e+01,2.1473921581e-03
6.2407338162e+01,2.5725942471e-03
6.3830375878e+01,3.0722137382e-03
6.5285862285e+01,3.6572256839e-03
6.6774537289e+01,4.3398257932e-03
6.8297157671e+01,5.1334937037e-03
6.9854497467e+01,6.0530459694e-03
7.1447348364e+01,7.1146757506e-03
7.3076520100e+01,8.3359759566e-03
7.4742840879e+01,9.7359424045e-03
7.6447157787e+01,1.1334953431e-02
7.8190337228e+01,1.3154722341e-02
7.9973265361e+01,1.5218219112e-02
8.1796848553e+01,1.7549557932e-02
8.3662013837e+01,2.0173847384e-02
8.5569709384e+01,2.3117000496e-02
8.7520904988e+01,2.6405502405e-02
8.9516592554e+01,3.0066134030e-02
9.1557786606e+01,3.4125650979e-02
9.3645524802e+01,3.8610417850e-02
9.5780868460e+01,4.3545999181e-02
9.7964903101e+01,4.8956709474e-02
1.0019873899e+02,5.4865126029e-02
1.0248351173e+02,6.1291569683e-02
1.0482038279e+02,6.8253559919e-02
1.0721054014e+02,7.5765252240e-02
1.0965519884e+02,8.3836867021e-02
1.1215560166e+02,9.2474120334e-02
1.1471301968e+02,1.0167766836e-01
1.1732875299e+02,1.1144257793e-01
1.2000413133e+02,1.2175783646e-01
1.2274051475e+02,1.3260591497e-01
1.2553929430e+02,1.4396239795e-01
1.2840189277e+02,1.5579569356e-01
1.3132976538e+02,1.6806683718e-01
1.3432440054e+02,1.8072940009e-01
1.3738732061e+02,1.9372951366e-01
1.4052008263e+02,2.0700601778e-01
1.4372427918e+02,2.2049073993e-01
1.4700153913e+02,2.3410890861e-01
1.5035352851e+02,2.4777970254e-01
1.5378195132e+02,2.6141693327e-01
1.5728855044e+02,2.7492985644e-01
1.6087510847e+02,2.8822410313e-01
1.6454344866e+02,3.0120271974e-01
1.6829543586e+02,3.1376730180e-01
1.7213297740e+02,3.2581920414e-01
1.7605802414e+02,3.3726080740e-01
1.8007257140e+02,3.4799681863e-01
1.8417866002e+02,3.5793558208e-01
1.8837837735e+02,3.6699037525e-01
1.9267385836e+02,3.7508066480e-01
1.9706728669e+02,3.8213329674e-01
2.0156089577e+02,3.8808359660e-01
2.0615696997e+02,3.9287635632e-01
2.1085784574e+02,3.9646668689e-01
2.1566591281e+02,3.9882071825e-01
2.2058361539e+02,3.9991613121e-01
2.2561345345e+02,3.9974250986e-01
2.3075798393e+02,3.9830150637e-01
2.3601982211e+02,3.9560681486e-01
2.4140164288e+02,3.9168395473e-01
2.4690618214e+02,3.8656986829e-01
2.5253623815e+02,3.8031234158e-01
2.5829467301e+02,3.7296926104e-01
2.6418441407e+02,3.6460772225e-01
2.7020845541e+02,3.5530300987e-01
2.7636985942e+02,3.4513747054e-01
2.8267175829e+02,3.3419930214e-01
2.8911735564e+02,3.2258128448e-01
