k_code,ring_damp
9.2083066506e-01,9.9999876942e-01
9.4182782349e-01,9.9999878257e-01
9.6330376775e-01,9.9999879101e-01
9.8526941529e-01,9.9999879656e-01
1.0077359325e+00,9.9999880014e-01
1.0307147405e+00,9.9999880229e-01
1.0542175207e+00,9.9999880336e-01
1.0782562209e+00,9.9999880359e-01
1.1028430614e+00,9.9999880315e-01
1.1279905412e+00,9.9999880217e-01
1.1537114441e+00,9.9999880075e-01
1.1800188455e+00,9.9999879895e-01
1.2069261191e+00,9.9999879685e-01
1.2344469434e+00,9.9999879449e-01
1.2625953089e+00,9.9999879192e-01
1.2913855248e+00,9.9999878916e-01
1.3208322272e+00,9.9999878625e-01
1.3509503852e+00,9.9999878321e-01
1.3817553099e+00,9.9999878007e-01
1.4132626611e+00,9.9999877683e-01
1.4454884559e+00,9.9999877352e-01
1.4784490764e+00,9.9999877015e-01
1.5121612785e+00,9.9999876674e-01
1.5466422001e+00,9.9999876328e-01
1.5819093698e+00,9.9999875980e-01
1.6179807159e+00,9.9999875630e-01
1.6548745757e+00,9.9999875279e-01
1.6926097044e+00,9.9999874927e-01
1.7312052850e+00,9.9999874576e-01
1.7706809378e+00,9.9999874224e-01
1.8110567307e+00,9.9999873874e-01
1.8523531889e+00,9.9999873526e-01
1.8945913060e+00,9.9999873179e-01
1.9377925539e+00,9.9999872835e-01
1.9819788943e+00,9.9999872493e-01
2.0271727898e+00,9.9999872154e-01
2.0733972151e+00,9.9999871817e-01
2.1206756686e+00,9.9999871484e-01
2.1690321849e+00,9.9999871155e-01
2.2184913462e+00,9.9999870829e-01
2.2690782956e+00,9.9999870507e-01
2.3208187494e+00,9.9999870189e-01
2.3737390103e+00,9.9999869874e-01
2.4278659806e+00,9.9999869564e-01
2.4832271763e+00,9.9999869258e-01
2.5398507407e+00,9.9999868956e-01
2.5977654588e+00,9.9999868659e-01
2.6570007721e+00,9.9999868366e-01
2.7175867933e+00,9.9999868077e-01
2.7795543218e+00,9.9999867792e-01
2.8429348592e+00,9.9999867513e-01
2.9077606257e+00,9.9999867237e-01
2.9740645759e+00,9.9999866966e-01
3.0418804160e+00,9.9999866700e-01
3.1112426206e+00,9.9999866438e-01
3.1821864507e+00,9.9999866180e-01
3.2547479711e+00,9.9999865927e-01
3.3289640690e+00,9.9999865678e-01
3.4048724729e+00,9.9999865434e-01
3.4825117713e+00,9.9999865194e-01
3.5619214328e+00,9.9999864958e-01
3.6431418259e+00,9.9999864727e-01
3.7262142398e+00,9.9999864500e-01
3.8111809050e+00,9.9999864277e-01
3.8980850148e+00,9.9999864058e-01
3.9869707479e+00,9.9999863843e-01
4.0778832898e+00,9.9999863633e-01
4.1708688568e+00,9.9999863426e-01
4.2659747189e+00,9.9999863224e-01
4.3632492238e+00,9.9999863025e-01
4.4627418219e+00,9.9999862830e-01
4.5645030910e+00,9.9999862639e-01
4.6685847622e+00,9.9999862452e-01
4.7750397465e+00,9.9999862269e-01
4.8839221609e+00,9.9999862089e-01
4.9952873568e+00,9.9999861913e-01
5.1091919476e+00,9.9999861740e-01
5.2256938375e+00,9.9999861571e-01
5.3448522513e+00,9.9999861405e-01
5.4667277642e+00,9.9999861243e-01
5.5913823324e+00,9.9999861084e-01
5.7188793253e+00,9.9999860928e-01
5.8492835568e+00,9.9999860776e-01
5.9826613192e+00,9.9999860627e-01
6.1190804159e+00,9.9999860480e-01
6.2586101969e+00,9.9999860337e-01
6.4013215931e+00,9.9999860197e-01
6.5472871531e+00,9.9999860060e-01
6.6965810796e+00,9.9999859925e-01
6.8492792675e+00,9.9999859794e-01
7.0054593421e+00,9.9999859665e-01
7.1652006988e+00,9.9999859539e-01
7.3285845435e+00,9.9999859416e-01
7.4956939335e+00,9.9999859295e-01
7.6666138204e+00,9.9999859177e-01
7.8414310926e+00,9.9999859061e-01
8.0202346200e+00,9.9999858948e-01
8.2031152987e+00,9.9999858837e-01
8.3901660977e+00,9.9999858729e-01
8.5814821056e+00,9.9999858623e-01
8.7771605797e+00,9.9999858519e-01
8.9773009945e+00,9.9999858417e-01
9.1820050932e+00,9.9999858318e-01
9.3913769387e+00,9.9999858221e-01
9.6055229668e+00,9.9999858126e-01
9.8245520405e+00,9.9999858033e-01
1.0048575505e+01,9.9999857942e-01
1.0277707244e+01,9.9999857853e-01
1.0512063740e+01,9.9999857766e-01
1.0751764128e+01,9.9999857680e-01
1.0996930262e+01,9.9999857597e-01
1.1247686776e+01,9.9999857516e-01
1.1504161142e+01,9.9999857436e-01
1.1766483742e+01,9.9999857358e-01
1.2034787930e+01,9.9999857282e-01
1.2309210099e+01,9.9999857207e-01
1.2589889755e+01,9.9999857134e-01
1.2876969585e+01,9.9999857063e-01
1.3170595526e+01,9.9999856993e-01
1.3470916846e+01,9.9999856924e-01
1.3778086216e+01,9.9999856858e-01
1.4092259788e+01,9.9999856792e-01
1.4413597274e+01,9.9999856728e-01
1.4742262030e+01,9.9999856666e-01
1.5078421134e+01,9.9999856605e-01
1.5422245476e+01,9.9999856545e-01
1.5773909842e+01,9.9999856487e-01
1.6133593003e+01,9.9999856429e-01
1.6501477806e+01,9.9999856374e-01
1.6877751270e+01,9.9999856319e-01
1.7262604676e+01,9.9999856266e-01
1.7656233667e+01,9.9999856213e-01
1.8058838347e+01,9.9999856162e-01
1.8470623385e+01,9.9999856112e-01
1.8891798113e+01,9.9999856063e-01
1.9322576641e+01,9.9999856015e-01
1.9763177957e+01,9.9999855969e-01
2.0213826046e+01,9.9999855923e-01
2.0674749996e+01,9.9999855878e-01
2.1146184124e+01,9.9999855835e-01
2.1628368086e+01,9.9999855792e-01
2.2121547004e+01,9.9999855750e-01
2.2625971591e+01,9.9999855709e-01
2.3141898273e+01,9.9999855669e-01
2.3669589328e+01,9.9999855630e-01
2.4209313010e+01,9.9999855592e-01
2.4761343693e+01,9.9999855555e-01
2.5325962006e+01,9.9999855518e-01
2.5903454977e+01,9.9999855482e-01
2.6494116180e+01,9.9999855448e-01
2.7098245882e+01,9.9999855413e-01
2.7716151197e+01,9.9999855380e-01
2.8348146242e+01,9.9999855347e-01
2.8994552298e+01,9.9999855315e-01
